time,factor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,PM10,7x,76,79,84,99,111,108,100,89,77,66,61,62,65,60,57,64,65,66,67,65,62,67,65
2014/01/01,PM2.5,49,48,47,53,59,63,63,63,58,48,41,40,43,44,42,39,37,41,43,41,39,39,44,44
2014/01/01,RH,70,71,74,75,77,71,67,67,66,61,55,55,51,45,49,48,56,63,67,69,69,69,69,65
2014/01/01,WIND_DIREC,316,315,318,319,299,106,95,55,51,64,51,52,57,51,74,51,44,44,37,82,204,126,179,299
2014/01/01,WIND_SPEED,2.1,1.7,2.4,2.5,2.9,2.8,3.2,3.2,3.9,4.3,4.4,3.5,2.6,3.5,2.5,3.3,2.6,2.3,2.2,2,3.1,3.6,3.8,2.9
2014/01/02,PM10,56,59,72,92,93,90,87,78,78,72,68,70,66,62,59,57,56,64,64,59,59,53,51,55
2014/01/02,PM2.5,42,40,43,52,51,50,49,47,48,47,47,48,44,39,39,35,33,37,39,37,38,40,36,32
2014/01/02,RH,58,63,67,67,67,68,69,67,64,60,62,58,53,49,55,56,56,62,67,69,73,77,76,76
2014/01/02,WIND_DIREC,235,272,65,84,68,121,84,69,60,87,75,50,45,49,48,88,46,56,112,44,52,75,213,165
2014/01/02,WIND_SPEED,3.1,3.2,3,2.4,3,3.1,3.1,3.1,3,4.2,3.5,2.7,2,2.4,2.3,2.3,3.4,1.8,2,2.2,2.3,2.1,2.9,2
2014/01/03,PM10,57,61,55,51,68,77,72,76,83,89,78,78,78,70,79,88,95,95,90,84,78,72,65,66
2014/01/03,PM2.5,32,38,40,34,42,43,41,42,45,52,45,49,48,39,44,47,51,52,48,48,50,47,38,39
2014/01/03,RH,74,78,74,72,74,72,77,74,71,66,63,70,65,66,66,65,67,70,76,81,79,82,81,73
2014/01/03,WIND_DIREC,329,315,291,297,294,325,8.7,164,150,155,161,156,169,52,191,182,182,60,52,72,50,53,55,71
2014/01/03,WIND_SPEED,2.5,2.6,1.7,1.6,2.4,0.8,0.9,0.5,1.2,2.1,2.1,1.4,1.9,1.1,1.6,0.5,1.6,1.1,2.1,1.9,2.1,3.1,2.3,2.7
2014/01/04,PM10,86,122,160,183,198,203,204,202,188,177,185,192,183,176,178,185,181,172,160,156,172,187,205,237
2014/01/04,PM2.5,55,80,102,115,123,124,130,132,121,114,116,124,121,115,112,110,108,97,84,85,94,101,113,132
2014/01/04,RH,73,73,71,70,70,70,77,77,67,56,67,59,53,55,61,63,70,72,73,76,72,71,66,73
2014/01/04,WIND_DIREC,87,56,78,88,57,44,47,47,47,45,45,45,54,42,70,55,44,49,57,65,58,69,61,56
2014/01/04,WIND_SPEED,3.1,2.5,2.6,2.2,2.6,3.6,3.7,4,4,4.7,3.7,4.7,3.5,4.1,2.6,2.5,2.7,1.5,1.4,1.9,2.2,2.6,3.6,4.3
2014/01/05,PM10,286,299,280,281,291,306,315,310,295,275,269,275,292,308,312,313,286,249,231,218,197,154,133,158
2014/01/05,PM2.5,166,180,165,166,178,189,196,193,181,167,159,166,182,194,194,194,171,147,137,129,114,84,69,89
2014/01/05,RH,83,80,79,79,78,77,77,74,74,73,72,72,72,72,71,70,75,77,78,78,76,74,76,82
2014/01/05,WIND_DIREC,55,52,65,49,52,48,49,52,52,47,49,46,49,64,60,58,53,59,56,48,44,52,69,68
2014/01/05,WIND_SPEED,4.6,3.8,3.4,3.6,3.8,4.3,4.3,4.4,4,4.3,4.6,4.1,3.4,2.6,3.2,3.3,3.7,3.3,4,4.2,4.8,4.1,3.8,3.9
2014/01/06,PM10,171,170,167,166,164,163,163,163,141,111,115,131,111,92,71,35,24,27,26,26,28,26,23,24
2014/01/06,PM2.5,100,99,98,97,102,104,101,99,87,69,78,89,69,56,44,19,10,8,9,11,10,8,5,8
2014/01/06,RH,84,83,81,77,75,75,75,76,73,69,69,67,64,64,63,63,66,67,67,69,70,70,71,72
2014/01/06,WIND_DIREC,81,103,72,95,97,116,85,84,69,75,56,44,56,82,65,61,57,62,68,63,59,58,108,113
2014/01/06,WIND_SPEED,4.5,4.6,4.8,4.7,4,3.8,4.1,4,4.2,4.3,5.3,5.6,5.3,4.2,4.5,4.4,4.1,3.5,3.7,3.9,3.6,3.3,3,3.3
2014/01/07,PM10,29,29,31,32,31,34,38,38,39,45,51,57,,57,51,46,43,37,34,38,43,45,48,49
2014/01/07,PM2.5,10,6,10,16,14,13,17,19,16,18,22,28,,33,22,16,18,14,12,13,17,23,21,15
2014/01/07,RH,71,73,75,74,73,76,76,74,73,74,73,73,69,69,68,69,73,77,80,82,83,84,84,85
2014/01/07,WIND_DIREC,95,59,61,55,83,83,105,39,49,50,53,36,39,40,49,64,58,51,54,81,76,22,23,298
2014/01/07,WIND_SPEED,3.3,3.8,2.9,2.7,3.1,3,2.9,3.5,2.7,3,2.9,2.9,3.2,2.3,2.8,2.4,2.7,3.2,2.9,1.6,1.8,1.2,1.3,1
2014/01/08,PM10,46,43,40,37,37,56,93,87,68,72,76,76,55,53,75,77,64,57,54,48,48,48,44,45
2014/01/08,PM2.5,17,18,19,22,21,26,40,40,33,37,41,42,37,37,44,47,41,33,24,21,27,28,29,26
2014/01/08,RH,85,85,87,84,82,83,86,92,92,86,85,81,75,76,82,84,82,80,78,75,74,75,75,76
2014/01/08,WIND_DIREC,291,311,222,195,184,238,77,181,122,252,42,38,60,49,46,52,48,46,46,48,50,59,63,59
2014/01/08,WIND_SPEED,1.6,0.9,0.5,1.9,2,1.4,1.1,2.6,1.1,1.5,2,4.2,4.2,4.3,4.8,5.1,5.9,6.8,7,7.9,7.9,7.1,6.3,7.1
2014/01/09,PM10,48,46,43,38,38,38,40,43,40,34,42,51,51,54,56,57,57,56,57,56,54,55,59,60
2014/01/09,PM2.5,24,25,25,23,26,30,27,25,25,25,25,29,31,31,32,32,30,28,27,29,33,34,33,29
2014/01/09,RH,75,73,71,68,68,66,70,70,69,70,71,72,71,70,68,67,67,67,66,65,65,66,66,66
2014/01/09,WIND_DIREC,54,59,60,52,53,52,54,54,60,59,60,54,52,50,59,48,47,56,57,51,64,50,53,55
2014/01/09,WIND_SPEED,8.2,6.6,6.4,6.8,6.7,6.6,5.7,5.9,5.4,5.9,5.7,5.8,6.6,6.9,5.8,7.3,6.7,6.3,6,5.9,5.1,6,6.2,6.1
2014/01/10,PM10,61,60,61,57,59,60,60,64,64,66,70,67,57,57,62,62,59,59,61,62,57,49,48,46
2014/01/10,PM2.5,28,28,25,26,28,27,30,33,33,31,31,33,32,30,30,27,27,30,30,25,22,24,24,23
2014/01/10,RH,67,67,67,68,68,69,71,70,69,65,62,61,62,63,64,66,69,71,73,74,75,74,73,72
2014/01/10,WIND_DIREC,58,53,51,60,61,66,61,53,64,66,83,85,62,75,54,59,55,58,67,63,68,73,79,96
2014/01/10,WIND_SPEED,5.5,6,5.7,5.3,6,5.4,5.7,5.5,5,4.4,4.4,4.4,4.9,4.2,4.7,5.3,5,4.4,4.3,5,4.6,4.7,3.9,4
2014/01/11,PM10,39,35,34,34,43,51,59,67,57,59,68,64,56,53,51,51,56,56,55,55,48,37,34,42
2014/01/11,PM2.5,18,17,17,17,23,27,33,38,33,33,36,35,32,29,28,28,32,35,33,30,25,15,15,22
2014/01/11,RH,72,72,71,72,72,73,74,75,75,76,75,73,72,72,74,72,75,77,76,76,76,76,78,77
2014/01/11,WIND_DIREC,92,90,79,75,80,80,67,100,56,59,57,44,46,42,83,95,88,88,100,99,117,86,114,114
2014/01/11,WIND_SPEED,3.9,4.5,4.5,5.4,5.3,4.9,4.4,3.6,5.1,4.7,5.1,5.3,4.9,4.3,3.4,3.1,3.6,3.7,3.7,3,3.5,3.3,3.6,3.6
2014/01/12,PM10,56,71,73,73,89,86,60,49,44,38,31,26,21,15,16,18,17,31,37,33,35,39,44,44
2014/01/12,PM2.5,30,34,33,30,34,33,23,17,16,17,15,14,12,10,8,9,10,12,16,16,19,19,18,25
2014/01/12,RH,82,81,80,81,84,85,88,89,88,87,86,86,87,86,84,82,81,83,83,81,81,81,81,80
2014/01/12,WIND_DIREC,74,119,105,84,111,87,68,66,58,63,65,64,57,43,49,46,53,61,62,55,68,46,55,61
2014/01/12,WIND_SPEED,3.1,3.6,2.7,1.8,2.7,3.4,1.9,1.7,2.1,2.6,3.6,4.2,4.9,6.9,6.3,8.4,6.7,5,5.4,5.6,5.5,7.2,5.8,5.4
2014/01/13,PM10,43,38,31,31,33,35,40,43,48,53,61,65,59,55,62,75,97,116,117,108,99,88,84,82
2014/01/13,PM2.5,28,24,19,17,22,23,22,26,30,34,38,36,30,32,37,43,58,73,76,69,62,56,57,62
2014/01/13,RH,75,71,68,70,70,64,63,62,63,63,67,67,62,59,59,57,61,66,69,73,78,80,85,85
2014/01/13,WIND_DIREC,52,68,63,50,57,52,51,55,53,61,69,71,83,73,74,64,59,53,59,63,68,63,84,98
2014/01/13,WIND_SPEED,6.1,5.5,5.2,5.9,5.3,5.9,6.3,6.1,6,6.4,5.7,5.1,4.9,5.9,4.4,4.7,6,6.2,6.5,5.6,5.7,5.2,4.4,4.4
2014/01/14,PM10,79,72,56,46,43,50,64,62,51,46,54,62,64,66,79,87,92,114,117,88,71,70,62,57
2014/01/14,PM2.5,61,55,44,38,36,42,48,47,40,36,39,44,51,54,56,57,61,76,75,50,38,37,30,28
2014/01/14,RH,84,82,83,84,85,82,80,83,83,83,80,76,71,69,63,63,63,65,61,63,65,64,63,64
2014/01/14,WIND_DIREC,71,81,80,66,59,65,58,57,57,53,53,62,69,85,66,58,49,51,55,53,53,58,51,69
2014/01/14,WIND_SPEED,4.8,4.8,3.9,4.1,4,5.2,5.5,6.7,6.8,6.4,5.8,5.4,5,4.5,4.4,4.7,5,5.6,5.4,6.4,6.7,5,5.7,5.4
2014/01/15,PM10,57,56,56,65,79,93,97,95,88,77,71,60,59,65,,66,59,49,44,40,39,42,37,34
2014/01/15,PM2.5,29,30,32,37,48,57,58,57,56,49,43,45,44,38,,30,31,24,18,18,19,21,21,18
2014/01/15,RH,63,64,65,65,66,65,64,66,63,61,61,58,62,64,67,62,60,69,73,73,76,76,73,68
2014/01/15,WIND_DIREC,51,54,51,55,67,70,61,65,61,50,55,48,51,61,0#,53,53,56,63,67,78,74,83,86
2014/01/15,WIND_SPEED,6,6.1,6,5.5,5.2,5.4,5.2,4.9,6.3,5.9,6.6,6.5,7,5.8,0#,6,6.4,5.4,4.7,4.6,4.8,4.6,4.5,4
2014/01/16,PM10,39,38,37,44,48,49,45,50,54,49,46,44,39,39,44,45,49,56,51,44,44,42,38,40
2014/01/16,PM2.5,20,19,21,28,32,30,27,30,32,28,22,21,24,26,26,26,26,28,29,27,26,26,28,28
2014/01/16,RH,67,63,65,69,68,67,68,68,68,64,62,63,65,67,69,74,78,83,85,85,86,88,88,86
2014/01/16,WIND_DIREC,79,77,67,77,94,71,77,93,66,47,48,48,66,95,88,57,46,47,44,65,61,92,91,105
2014/01/16,WIND_SPEED,4.7,5.1,5.9,5.6,4,4.3,3.9,4.3,4.1,4.4,5,4.5,4,3.8,3.8,3.8,4,4.4,3.3,2.6,2.7,2.4,2.5,3.4
2014/01/17,PM10,43,38,37,42,46,50,49,46,49,50,45,42,39,42,44,46,50,56,62,61,59,57,54,48
2014/01/17,PM2.5,27,26,26,28,28,26,25,28,28,26,26,29,28,27,27,26,26,28,35,38,34,34,36,33
2014/01/17,RH,84,83,83,83,83,84,85,82,77,76,70,68,67,71,73,76,81,85,87,88,89,88,86,84
2014/01/17,WIND_DIREC,81,112,98,78,112,142,78,61,44,71,48,50,50,47,53,50,47,47,100,99,134,76,72,68
2014/01/17,WIND_SPEED,2.3,2.5,3,3.6,3.3,3.4,3.2,3.4,4.1,3.9,4.2,3.7,3.8,3.3,3.7,3.3,3.5,3.1,2.6,2.8,2.7,2.1,2.8,3.3
2014/01/18,PM10,44,46,48,49,55,60,59,61,84,127,158,158,172,208,214,202,185,167,161,170,171,150,155,177
2014/01/18,PM2.5,33,36,35,35,35,35,35,39,56,84,102,106,120,142,151,138,121,114,111,116,116,99,102,122
2014/01/18,RH,82,84,84,84,84,83,76,72,71,71,68,65,63,61,57,53,49,49,48,52,52,51,62,65
2014/01/18,WIND_DIREC,97,67,78,96,67,137,72,49,49,55,52,50,56,64,55,55,49,51,52,54,56,58,48,49
2014/01/18,WIND_SPEED,2.6,2.2,2.4,2,2.8,3.3,2.7,5.4,5.2,4.1,4.1,4.5,5.1,5.1,5.3,6.1,6.6,7.1,5.8,5.3,4.9,4.3,5.4,4.7
2014/01/19,PM10,193,197,192,191,188,176,164,160,161,169,171,166,164,150,131,117,119,119,106,109,94,75,81,82
2014/01/19,PM2.5,132,137,138,134,131,123,110,106,110,115,118,113,113,107,92,81,80,80,68,66,62,53,57,56
2014/01/19,RH,68,69,68,67,64,60,60,62,68,68,64,65,66,61,61,62,66,66,63,68,68,71,73,68
2014/01/19,WIND_DIREC,60,58,56,53,50,60,93,66,65,57,54,53,49,48,57,47,106,115,65,74,65,149,95,107
2014/01/19,WIND_SPEED,4.6,4.4,4.6,4.9,4.9,4.2,4.5,4.3,5,6.9,6.8,6,5.1,5,5.3,4.4,4.2,3.7,3,2.4,2.7,3.8,3.3,3.9
2014/01/20,PM10,79,83,97,115,128,125,112,116,121,119,110,87,78,84,79,83,90,94,100,104,121,149,174,199
2014/01/20,PM2.5,54,56,67,78,84,80,73,75,75,74,69,55,53,61,53,53,59,61,65,67,74,86,93,92
2014/01/20,RH,65,67,69,74,75,78,82,79,78,72,67,65,65,63,65,74,72,73,77,78,78,72,70,68
2014/01/20,WIND_DIREC,85,92,81,75,89,22,287,38,46,182,42,62,66,79,69,50,42,55,96,79,71,85,63,74
2014/01/20,WIND_SPEED,2.8,2.6,2.6,2.5,3.3,2.3,1.5,1.8,1.5,2.1,2.6,2.4,2.4,2.9,3,3.6,3.2,2.3,2.4,3.3,3.3,3.6,4.1,3.8
2014/01/21,PM10,221,226,229,230,233,244,246,243,238,241,238,226,210,191,183,171,145,138,130,111,109,114,115,108
2014/01/21,PM2.5,95,101,100,99,99,96,89,87,82,76,71,66,59,55,52,45,40,49,49,37,35,36,39,38
2014/01/21,RH,68,65,64,63,61,59,58,55,53,50,49,46,42,42,42,43,44,45,46,46,47,51,54,54
2014/01/21,WIND_DIREC,47,48,55,59,49,63,73,53,56,62,62,52,53,44,44,44,51,53,51,48,54,54,53,56
2014/01/21,WIND_SPEED,5.6,4.9,5.3,5.2,5.9,5.3,4.8,5.9,5.6,5.4,5.8,5.4,5.7,8,7.7,7.4,5.5,5,5.4,4.7,5.1,5.6,6.1,5.7
2014/01/22,PM10,103,104,106,104,94,89,93,99,103,101,97,84,,70,67,62,55,51,53,50,44,45,44,42
2014/01/22,PM2.5,37,40,40,41,38,35,36,38,43,46,43,37,,36,32,28,25,26,26,21,21,22,24,21
2014/01/22,RH,52,53,53,53,53,53,51,51,51,50,48,44,42,45,44,43,43,46,49,53,53,56,58,58
2014/01/22,WIND_DIREC,52,58,57,50,53,62,49,58,49,49,52,53,60,56,67,70,81,69,66,95,75,70,80,88
2014/01/22,WIND_SPEED,5.3,4.4,4.5,5.3,5.3,4.4,5.1,4.5,5.6,5,5.1,5,4.2,4.3,3.2,3.2,3.1,3.2,3.5,2.5,3.1,2.7,2.8,2.8
2014/01/23,PM10,50,57,61,60,57,55,51,53,53,50,51,50,44,43,48,,33,33,31,29,32,33,31,29
2014/01/23,PM2.5,24,32,33,33,32,30,32,31,29,28,27,30,25,20,21,,18,16,16,19,21,22,22,22
2014/01/23,RH,66,68,68,69,69,67,64,63,62,60,59,55,54,54,58,64,69,73,76,81,84,84,86,86
2014/01/23,WIND_DIREC,138,86,97,85,88,87,94,75,51,67,97,111,128,110,120,12,51,44,43,38,46,177,117,247
2014/01/23,WIND_SPEED,3.3,3.6,3.8,3.8,3.7,3.4,3.2,3.9,4.5,4.2,3.8,2.8,2.8,2.9,1.9,1.5,3.2,2.6,2.9,2.9,2.2,3,3.6,3.7
2014/01/24,PM10,31,27,34,44,46,49,49,46,48,46,42,39,33,27,24,29,31,27,23,21,22,22,28,24
2014/01/24,PM2.5,21,15,18,26,30,30,28,27,30,33,29,17,14,16,13,12,14,12,10,11,11,12,13,14
2014/01/24,RH,84,82,83,82,84,85,86,84,79,76,72,68,65,57,57,59,59,68,76,80,84,86,84,83
2014/01/24,WIND_DIREC,133,274,103,131,277,90,84,53,314,47,41,17,44,39,40,40,73,82,127,151,307,290,310,316
2014/01/24,WIND_SPEED,3.8,3.5,3.6,4.4,3.3,3.5,4.1,3.7,3.3,3,3.1,2.7,2.5,2.6,1.9,1.8,2.8,3.1,1.4,1.8,1,2.8,1.7,1.9
2014/01/25,PM10,18,23,26,31,35,32,28,32,31,35,50,54,57,65,78,86,77,76,67,56,54,59,64,53
2014/01/25,PM2.5,16,16,14,15,16,14,13,17,17,17,22,24,22,27,27,25,26,23,23,25,28,29,30,27
2014/01/25,RH,83,83,85,84,82,80,81,80,83,73,72,68,65,61,59,64,65,66,66,69,69,70,76,80
2014/01/25,WIND_DIREC,340,295,296,4.3,297,34,311,35,336,174,49,154,164,178,178,179,206,225,212,237,12,41,51,92
2014/01/25,WIND_SPEED,1.1,3.1,3.2,0.8,3.1,1.5,0.9,1.5,1.5,1.6,1.6,2.1,2.4,3,2.5,2.1,1.8,1,1.8,1.1,1.1,1.8,2.2,2.7
2014/01/26,PM10,48,54,199,352,321,247,177,125,105,109,112,104,94,95,88,75,59,51,54,53,49,53,50,45
2014/01/26,PM2.5,24,28,129,239,216,158,110,76,60,62,66,66,59,56,49,34,25,21,17,13,15,15,12,14
2014/01/26,RH,77,82,77,79,79,79,77,76,77,78,76,75,75,75,74,73,73,73,72,72,70,67,68,72
2014/01/26,WIND_DIREC,49,51,56,48,50,46,62,61,54,56,57,48,49,54,45,49,57,48,50,49,67,60,59,86
2014/01/26,WIND_SPEED,5.5,5,5.3,6.4,6.7,6.2,5.4,5.8,5.6,6.2,6.3,6.3,6.6,6,7.4,6.3,6,6.4,6.1,6,5,5.3,5,4.4
2014/01/27,PM10,44,39,38,43,44,42,42,45,50,50,46,44,40,37,40,42,39,38,38,38,38,34,34,35
2014/01/27,PM2.5,16,14,14,15,14,13,12,16,21,22,28,25,14,13,14,11,10,10,10,9,7,7,10,10
2014/01/27,RH,72,72,72,71,70,70,72,72,70,69,66,66,67,67,68,68,72,74,79,83,85,87,87,88
2014/01/27,WIND_DIREC,100,85,98,86,81,66,55,60,53,53,46,53,49,49,54,56,45,61,50,57,68,101,109,183
2014/01/27,WIND_SPEED,3.8,3.3,3.5,3.6,4.2,4.7,4.5,4.5,4.9,4.9,4,3.8,4.3,3.7,3.5,3.3,3.3,3.4,3.8,3.1,2.4,2.8,3.1,3.3
2014/01/28,PM10,35,32,32,34,35,40,49,55,54,50,54,,44,43,39,37,32,32,33,32,28,27,31,31
2014/01/28,PM2.5,9,9,8,8,10,14,20,23,24,23,23,,21,20,19,17,11,8,8,8,8,9,10,9
2014/01/28,RH,88,86,85,85,84,83,85,85,84,80,75,71,62,59,60,60,65,69,78,79,81,84,85,87
2014/01/28,WIND_DIREC,97,182,133,115,65,325,127,330,316,64,51,35,38,39,78,48,42,42,102,52,61,110,140,114
2014/01/28,WIND_SPEED,3.7,3.5,3.5,3.3,3.2,2.1,3.2,2.7,2.3,1.8,1.8,3,2.1,2.2,2.3,2.6,2.4,2.5,2.4,2,2,2.3,3.1,2.5
