date,avgtemp,evaporation,H,Q,rainfall
1/1/2008,14.9,3,493,1080,0
2/1/2008,13.2,3.4,460,1020,0
3/1/2008,13.2,3.4,460,1290,0
4/1/2008,14.5,2.8,477,1400,0
5/1/2008,15.7,2.1,475,1600,0
6/1/2008,17.7,3,473,1880,0
7/1/2008,18.9,1.6,474,1300,0
8/1/2008,18.8,1.3,476,1610,0
9/1/2008,21.6,2,471,1780,0
10/1/2008,21.8,2.4,476,1810,0
11/1/2008,22.3,2.2,480,1580,0
12/1/2008,22.6,2.4,481,1580,0
13/1/2008,22.2,2.1,494,1540,0
14/1/2008,14.8,2,494,1190,0
15/1/2008,11.7,0.9,498,1310,1.3
16/1/2008,12.6,0.9,491,1490,0.3
17/1/2008,14,1.4,477,1480,0
18/1/2008,14.1,1.6,485,1780,0
19/1/2008,14,0.4,479,2140,0.7
20/1/2008,16.3,0.9,485,2380,0
21/1/2008,14.6,0.5,513,2400,2.1
22/1/2008,11.9,0.2,522,2230,3
23/1/2008,12.2,0.7,521,2170,1
24/1/2008,13.1,1.4,524,1980,0.4
25/1/2008,11.7,0.3,529,1860,12.5
26/1/2008,13,0.6,531,2040,0
27/1/2008,11.9,1.5,530,2200,0
28/1/2008,10,0.1,532,1750,1.8
29/1/2008,10.8,0.5,524,1310,2.5
30/1/2008,10.3,0.2,520,1230,5.2
31/1/2008,9.3,1,499,1440,4.8
1/2/2008,7.6,0.2,514,1620,4.6
2/2/2008,9.3,0.5,507,1900,10.1
3/2/2008,11.7,1,500,2200,0
4/2/2008,12.3,2.4,497,2550,0
5/2/2008,12.3,0.8,462,2200,1.1
6/2/2008,12.8,1.4,452,1790,0
7/2/2008,12.8,1.4,436,1550,0
8/2/2008,12.8,1.6,453,1290,0
9/2/2008,12.8,1.8,483,1040,0
10/2/2008,11.9,2.3,479,919,0
11/2/2008,11,1.6,461,777,0
12/2/2008,12.1,1.9,435,730,0
13/2/2008,11.8,2.2,426,887,0
14/2/2008,11.8,2.8,474,974,0.3
15/2/2008,13.5,2.1,483,990,0
16/2/2008,14,2,507,1050,0
17/2/2008,12.5,0.8,519,1060,0
18/2/2008,12.2,0.3,502,937,3.2
19/2/2008,12.5,0.3,477,1190,3.4
20/2/2008,13.8,0.7,466,1500,0.1
21/2/2008,16.6,2.1,436,1620,0
22/2/2008,18.4,2.4,462,1480,0
23/2/2008,19.9,2.8,467,1370,0
24/2/2008,19.6,2.2,466,1270,0
25/2/2008,19,0.9,465,1070,0
26/2/2008,17.7,1.2,464,1240,3.4
27/2/2008,15.1,2.2,459,1660,0
28/2/2008,14.7,2.7,441,2320,0.5
29/2/2008,15.1,2.6,567,2420,2.7
1/3/2008,16,2.6,443,1890,0
2/3/2008,17.9,3.2,433,1550,0
3/3/2008,18.8,3.7,428,1690,0
4/3/2008,19.1,4.6,433,1880,0
5/3/2008,18.1,2.3,439,2000,0
6/3/2008,19.8,2.1,419,1740,0
7/3/2008,20.6,2.5,401,1440,0
8/3/2008,20.6,2.6,420,1300,0
9/3/2008,19.8,1.6,433,1060,0
10/3/2008,19.6,1.2,441,805,0
11/3/2008,21.3,1.7,434,1000,0
12/3/2008,21.4,2.5,444,1220,4.1
13/3/2008,20.3,1.1,519,1340,0
14/3/2008,20.9,0.9,525,1390,0.8
15/3/2008,21.7,1.6,508,1480,0
16/3/2008,22.2,0.9,513,1700,0.2
17/3/2008,23.2,1.1,506,1770,1.2
18/3/2008,23.1,1.1,462,1650,0.2
19/3/2008,22.7,1.2,445,1380,1.6
20/3/2008,24,1.6,440,1380,0
21/3/2008,25.2,2.3,425,1470,0
22/3/2008,22.9,1.3,451,1450,0.5
23/3/2008,21.9,3.3,477,1380,1.8
24/3/2008,21.6,3.6,512,1280,0
25/3/2008,21.7,2.5,547,1320,0
26/3/2008,22.4,2.7,562,1330,0
27/3/2008,20.4,1.7,584,1360,0.8
28/3/2008,21.8,1.2,599,1230,0.2
29/3/2008,24.6,1.3,626,1120,0.5
30/3/2008,25.5,1.8,595,1100,0
31/3/2008,22.3,0.6,574,919,4
1/4/2008,20,0.8,543,1090,1.4
2/4/2008,18.4,0.6,513,1170,5.3
3/4/2008,18.5,0.6,483,1210,0.2
4/4/2008,20.8,0.6,453,1420,0.8
5/4/2008,22.5,0.6,471,1570,2.4
6/4/2008,25.4,1.4,487,1550,0
7/4/2008,26.3,2.2,494,1300,0
8/4/2008,26.6,1.6,498,1430,0
9/4/2008,26.8,2.3,512,1570,0
10/4/2008,26.1,1.1,526,1570,0
11/4/2008,26,0.8,509,1550,0
12/4/2008,26.2,0.8,500,1390,0.4
13/4/2008,24.8,1.3,492,1250,1.9
14/4/2008,25.6,2.8,466,1020,5.2
15/4/2008,25.3,2.1,449,1430,23.7
16/4/2008,26,2.1,447,1480,0
17/4/2008,26.1,2.6,483,1440,0
18/4/2008,26.4,2.9,471,1430,0
19/4/2008,27.1,3.4,472,1520,0
20/4/2008,27.7,1.9,493,1460,0
21/4/2008,28.2,2.7,494,1240,0
22/4/2008,26.6,1.8,512,1480,2.9
23/4/2008,21.8,1.1,504,1530,1.9
24/4/2008,21.5,1.6,496,1430,0.2
25/4/2008,22.3,2.3,488,1550,0
26/4/2008,22.8,2.2,472,1720,0
27/4/2008,23.7,2.5,477,1780,0
28/4/2008,24.1,3,512,1350,0
29/4/2008,25.2,2.7,518,1600,0
30/4/2008,25.9,1.9,546,1680,0
1/5/2008,26.3,1.8,543,1390,1.3
2/5/2008,28.2,2.7,497,1140,0
3/5/2008,27.9,2.5,474,1330,0.6
4/5/2008,28.1,2.4,471,1500,5.4
5/5/2008,23,2.2,464,1710,35.9
6/5/2008,24.4,1.4,491,2870,2.8
7/5/2008,26.8,2.1,491,3270,1
8/5/2008,27.6,2.4,461,3600,0.3
9/5/2008,27.3,2.3,433,3650,9.8
10/5/2008,24.5,1.9,471,3540,19.8
11/5/2008,24.1,3.1,542,3540,0
12/5/2008,25.6,3.9,555,3330,0
13/5/2008,26.5,3.3,545,3300,0
14/5/2008,26.5,5.3,533,3230,0
15/5/2008,26.2,3.8,515,2820,0
16/5/2008,26.8,3.4,492,2570,0
17/5/2008,26.9,3.2,516,2450,0
18/5/2008,27.2,2.1,510,2390,38.6
19/5/2008,22.8,0.9,471,2340,28.7
20/5/2008,25.3,2.7,441,2830,0.3
21/5/2008,26.3,2.6,418,3320,0
