,TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
TIME,1.0,0.17331175350901398,-0.19303923197976394,-0.21705129109533045,-0.06910416888539189,-0.11807977356851289,-0.026339968516903848,0.19424012528764276,-0.05329318547591625,0.01830023241306617,0.014971079094744206,-0.005994176483447231,0.04029599992619922,-0.13967791959405512,-0.1714998007368052
AMB_TEMP,0.17331175350901398,1.0,-0.5589429911639958,0.0007500049488743605,-0.2668355637594743,-0.23713850857108362,-0.17954803710115166,0.12730298496055328,0.0010071736921462558,0.26008996621510727,0.2679416829961619,-0.04132402089260557,0.07069016812840975,-0.23863177244730202,-0.3271108050731857
CO,-0.19303923197976394,-0.5589429911639958,1.0,0.2151531547038487,0.5744479193953483,0.5580770118955198,0.25435495200855596,-0.23325784987057027,0.3130334936315471,-0.27191593297696315,-0.26835128265898994,-0.12320070140459094,-0.172192213770424,0.50651429688656,0.6452695700462072
NO,-0.21705129109533045,0.0007500049488743605,0.2151531547038487,1.0,0.3519617859831105,0.5563099878075087,-0.12182703211540351,-0.11098540475915031,0.12649573540842232,-0.08800655477019848,-0.08483572821176469,-0.026198542379838763,-0.005910201960155154,0.04967111036824595,0.1185731371228707
NO2,-0.06910416888539189,-0.2668355637594743,0.5744479193953483,0.3519617859831105,1.0,0.9637300235215573,-0.1178897704957298,-0.047245017291258226,0.4390244789004247,0.007548491690621886,0.006905171731354069,-0.22686065608649944,-0.21946877497611803,0.364253647285323,0.4229026230557894
NOx,-0.11807977356851289,-0.23713850857108362,0.5580770118955198,0.5563099878075087,0.9637300235215573,1.0,-0.136845473481006,-0.06627222037937545,0.42029473920541444,-0.009572996375041965,-0.009425656297788713,-0.21167898711907884,-0.20021691834425262,0.33796359317479285,0.4044370004904703
O3,-0.026339968516903848,-0.17954803710115166,0.25435495200855596,-0.12182703211540351,-0.1178897704957298,-0.136845473481006,1.0,-0.37008347215970877,0.030339807066699004,-0.2682412876871123,-0.25002111998035825,-0.04195092803913784,-0.06351246132477903,0.3805048722099333,0.395819798193521
RH,0.19424012528764276,0.12730298496055328,-0.23325784987057027,-0.11098540475915031,-0.047245017291258226,-0.06627222037937545,-0.37008347215970877,1.0,-0.3374151021610456,0.15298968388088383,0.15725188845668095,-0.1844828012914181,-0.1788102380654046,-0.43290651717655343,-0.39855229629784766
SO2,-0.05329318547591625,0.0010071736921462558,0.3130334936315471,0.12649573540842232,0.4390244789004247,0.42029473920541444,0.030339807066699004,-0.3374151021610456,1.0,0.0632420342667261,0.06004875577178442,-0.051638722309080884,-0.039816424942447484,0.4917666535893143,0.47204340163085234
WD_HR,0.01830023241306617,0.26008996621510727,-0.27191593297696315,-0.08800655477019848,0.007548491690621886,-0.009572996375041965,-0.2682412876871123,0.15298968388088383,0.0632420342667261,1.0,0.8329186107869267,-0.041507866549564384,-0.050952941055091176,-0.07480758928230952,-0.14547287596457173
WIND_DIREC,0.014971079094744206,0.2679416829961619,-0.26835128265898994,-0.08483572821176469,0.006905171731354069,-0.009425656297788713,-0.25002111998035825,0.15725188845668095,0.06004875577178442,0.8329186107869267,1.0,-0.0666078151977165,-0.045134015739348096,-0.072591705007383,-0.1420434003225301
WIND_SPEED,-0.005994176483447231,-0.04132402089260557,-0.12320070140459094,-0.026198542379838763,-0.22686065608649944,-0.21167898711907884,-0.04195092803913784,-0.1844828012914181,-0.051638722309080884,-0.041507866549564384,-0.0666078151977165,1.0,0.9222693170116626,-0.00094860817552119,-0.06010754149481185
WS_HR,0.04029599992619922,0.07069016812840975,-0.172192213770424,-0.005910201960155154,-0.21946877497611803,-0.20021691834425262,-0.06351246132477903,-0.1788102380654046,-0.039816424942447484,-0.050952941055091176,-0.045134015739348096,0.9222693170116626,1.0,-0.01829911685200127,-0.08352775546860317
PM10,-0.13967791959405512,-0.23863177244730202,0.50651429688656,0.04967111036824595,0.364253647285323,0.33796359317479285,0.3805048722099333,-0.43290651717655343,0.4917666535893143,-0.07480758928230952,-0.072591705007383,-0.00094860817552119,-0.01829911685200127,1.0,0.8321893050277407
PM2.5,-0.1714998007368052,-0.3271108050731857,0.6452695700462072,0.1185731371228707,0.4229026230557894,0.4044370004904703,0.395819798193521,-0.39855229629784766,0.47204340163085234,-0.14547287596457173,-0.1420434003225301,-0.06010754149481185,-0.08352775546860317,0.8321893050277407,1.0
