date,power
3/19/2020,48603000
3/18/2020,48339000
3/17/2020,49445000
3/16/2020,47542048
3/15/2020,42771527
3/14/2020,46304172
3/13/2020,50496167
3/12/2020,49163258
3/11/2020,48923813
3/10/2020,50053816
3/9/2020,50921825
3/8/2020,44434020
3/7/2020,47197138
3/6/2020,49263278
3/5/2020,49053824
3/4/2020,49366100
3/3/2020,50264890
3/2/2020,49968758
3/1/2020,44433065
2/29/2020,47296292
2/28/2020,50033541
2/27/2020,48802991
2/26/2020,47533615
2/25/2020,49596303
2/24/2020,48360373
2/23/2020,43647383
2/22/2020,47155029
2/21/2020,49588045
2/20/2020,49640689
2/19/2020,49220179
2/18/2020,49011321
2/17/2020,48036795
2/16/2020,43258300
2/15/2020,49582289
2/14/2020,51759552
2/13/2020,51076587
2/12/2020,50388619
2/11/2020,50425865
2/10/2020,49967133
2/9/2020,45280743
2/8/2020,48394066
2/7/2020,50987230
2/6/2020,51494305
2/5/2020,51444567
2/4/2020,50072636
2/3/2020,48063387
2/2/2020,43539195
2/1/2020,44580275
1/31/2020,43829810
1/30/2020,41618709
1/29/2020,35969460
1/28/2020,32277844
1/27/2020,30597263
1/26/2020,30213523
1/25/2020,30706929
1/24/2020,38125511
1/23/2020,35493931
1/22/2020,39711436
1/21/2020,44697440
1/20/2020,46660644
1/19/2020,44827795
1/18/2020,47435228
1/17/2020,49344543
1/16/2020,51334650
1/15/2020,51297953
1/14/2020,50821837
1/13/2020,49467599
1/12/2020,44761047
1/11/2020,49625060
1/10/2020,52055026
1/9/2020,52304215
1/8/2020,52285812
1/7/2020,51911919
1/6/2020,50627927
1/5/2020,46316500
1/4/2020,49028913
1/3/2020,50256194
1/2/2020,48564071
1/1/2020,41523636
12/31/2019,47274562
12/30/2019,47624029
12/29/2019,44920007
12/28/2019,47648816
12/27/2019,49210938
12/26/2019,50487096
12/25/2019,51190344
12/24/2019,51233064
12/23/2019,50124239
12/22/2019,45674517
12/21/2019,48266045
12/20/2019,49292637
12/19/2019,51176713
12/18/2019,51952605
12/17/2019,51020486
12/16/2019,49661910
12/15/2019,44940395
12/14/2019,47854080
12/13/2019,49851489
12/12/2019,50287301
12/11/2019,49963859
12/10/2019,49679803
12/9/2019,48798193
12/8/2019,44482857
12/7/2019,47199762
12/6/2019,48624361
12/5/2019,48754553
12/4/2019,48659462
12/3/2019,48707938
12/2/2019,47553404
12/1/2019,43585844
11/30/2019,47058513
11/29/2019,49111517
11/28/2019,49336493
11/27/2019,51549231
11/26/2019,50253048
11/25/2019,50639585
11/24/2019,45356704
11/23/2019,48268778
11/22/2019,49919935
11/21/2019,49604518
11/20/2019,49485590
11/19/2019,48901269
11/18/2019,52483322
11/17/2019,46088310
11/16/2019,48419847
11/15/2019,50063351
11/14/2019,49532071
11/13/2019,52124469
11/12/2019,50773479
11/11/2019,49451482
11/10/2019,43795150
11/9/2019,47664769
11/8/2019,50587794
11/7/2019,51183702
11/6/2019,50412781
11/5/2019,49860326
11/4/2019,49596503
11/3/2019,44258357
11/2/2019,47032000
11/1/2019,47898456
10/31/2019,49200808
10/30/2019,50130728
10/29/2019,49775652
10/28/2019,50084124
10/27/2019,47920066
10/26/2019,50229081
10/25/2019,51503699
10/24/2019,52587423
10/23/2019,60560649
10/22/2019,58362153
10/21/2019,55819630
10/20/2019,47425626
10/19/2019,49953386
10/18/2019,52317554
10/17/2019,55384823
10/16/2019,55720562
10/15/2019,54842462
10/14/2019,56625993
10/13/2019,52601146
10/12/2019,58342135
10/11/2019,60552498
10/10/2019,58142423
10/9/2019,54810849
10/8/2019,56693573
10/7/2019,59397752
10/6/2019,51894320
10/5/2019,54453928
10/4/2019,56612854
10/3/2019,58342817
10/2/2019,63277508
10/1/2019,62728617
9/30/2019,60723707
9/29/2019,52902273
9/28/2019,56524505
9/27/2019,59638033
9/26/2019,59807733
9/25/2019,59711133
9/24/2019,59025285
9/23/2019,58359615
9/22/2019,52485645
9/21/2019,58424018
9/20/2019,61831554
9/19/2019,59921171
9/18/2019,67531280
9/17/2019,70244958
9/16/2019,69576691
9/15/2019,62458731
9/14/2019,64094457
9/13/2019,64756897
9/12/2019,63629832
9/11/2019,61297510
9/10/2019,62497868
9/9/2019,72167670
9/8/2019,66976365
9/7/2019,71409868
9/6/2019,71065746
9/5/2019,67651244
9/4/2019,61939249
9/3/2019,58650342
9/2/2019,44417021
9/1/2019,45098904
8/31/2019,51592149
8/30/2019,61471705
8/29/2019,68982581
8/28/2019,65908330
8/27/2019,66369796
8/26/2019,67913820
8/25/2019,58545743
8/24/2019,57914424
8/23/2019,60335050
8/22/2019,61114743
8/21/2019,60981534
8/20/2019,65777031
8/19/2019,71148105
8/18/2019,62888469
8/17/2019,63603904
8/16/2019,70112415
8/15/2019,80935071
8/14/2019,85704925
8/13/2019,83230822
8/12/2019,79280490
8/11/2019,68557408
8/10/2019,69316091
8/9/2019,68117197
8/8/2019,71495243
8/7/2019,71083461
8/6/2019,64249172
8/5/2019,58463928
8/4/2019,49432924
8/3/2019,51826842
8/2/2019,57795972
8/1/2019,62005761
7/31/2019,67297229
7/30/2019,67834039
7/29/2019,71700847
7/28/2019,65186311
7/27/2019,66632059
7/26/2019,64836023
7/25/2019,64628828
7/24/2019,70795280
7/23/2019,72873412
7/22/2019,73120464
7/21/2019,65550843
7/20/2019,75377649
7/19/2019,85495479
7/18/2019,80532602
7/17/2019,77650758
7/16/2019,69306515
7/15/2019,71856514
7/14/2019,68864474
7/13/2019,76546830
7/12/2019,76147831
7/11/2019,69621716
7/10/2019,66618595
7/9/2019,80970047
7/8/2019,83825286
7/7/2019,71225103
7/6/2019,71140140
7/5/2019,67283031
7/4/2019,60359922
7/3/2019,70228001
7/2/2019,69210968
7/1/2019,69290326
6/30/2019,64484078
6/29/2019,83296073
6/28/2019,84860408
6/27/2019,79915899
6/26/2019,72578652
6/25/2019,66533620
6/24/2019,65476301
6/23/2019,76510162
6/22/2019,82478959
6/21/2019,81515373
6/20/2019,74519917
6/19/2019,69474542
6/18/2019,63162995
6/17/2019,74932323
6/16/2019,72000454
6/15/2019,73978510
6/14/2019,73660694
6/13/2019,78756987
6/12/2019,83890006
6/11/2019,80256371
6/10/2019,80806073
6/9/2019,67505750
6/8/2019,64967806
6/7/2019,67083351
6/6/2019,66769526
6/5/2019,65750547
6/4/2019,63522044
6/3/2019,57866822
6/2/2019,45889778
6/1/2019,48255520
5/31/2019,54238302
5/30/2019,56805368
5/29/2019,57195563
5/28/2019,61941412
5/27/2019,63502888
5/26/2019,61229700
5/25/2019,61174406
5/24/2019,61416105
5/23/2019,59460846
5/22/2019,57245442
5/21/2019,61819634
5/20/2019,77480751
5/19/2019,75283968
5/18/2019,76525529
5/17/2019,74557533
5/16/2019,69698796
5/15/2019,63608675
5/14/2019,60176343
5/13/2019,57034292
5/12/2019,48049161
5/11/2019,48084654
5/10/2019,49152143
5/9/2019,49425731
5/8/2019,51768789
5/7/2019,54106416
5/6/2019,55369641
5/5/2019,47795653
5/4/2019,48838740
5/3/2019,49452272
5/2/2019,47905133
5/1/2019,37496165
4/30/2019,38583945
4/29/2019,47250862
4/28/2019,50273448
4/27/2019,56738809
4/26/2019,63767227
4/25/2019,65440612
4/24/2019,66673366
4/23/2019,64606364
4/22/2019,63725772
4/21/2019,58698522
4/20/2019,63247258
4/19/2019,61699980
4/18/2019,56422219
4/17/2019,51452137
4/16/2019,49944790
4/15/2019,46329897
4/14/2019,46722631
4/13/2019,52800155
4/12/2019,57495686
4/11/2019,58588000
4/10/2019,57714741
4/9/2019,56888479
4/8/2019,53678214
4/7/2019,46355837
4/6/2019,47969528
4/5/2019,49463838
4/4/2019,50597000
4/3/2019,50259358
4/2/2019,49170345
4/1/2019,49289376
3/31/2019,46871116
3/30/2019,48642848
3/29/2019,49933981
3/28/2019,50381199
3/27/2019,49417667
3/26/2019,48298615
3/25/2019,46402072
3/23/2019,47096792
3/22/2019,53052167
3/21/2019,52165436
3/20/2019,50270577
3/19/2019,48835000
3/18/2019,47187993
3/17/2019,42135469
3/16/2019,44888707
3/15/2019,47608491
3/14/2019,49902684
3/13/2019,48836351
3/12/2019,48017734
3/11/2019,46624138
3/10/2019,42253235
3/9/2019,45673854
3/8/2019,47134170
3/7/2019,47588928
3/6/2019,49354556
3/5/2019,51335158
3/4/2019,47842867
3/3/2019,44120792
3/2/2019,47075607
3/1/2019,48529000
2/28/2019,48533167
2/27/2019,48151056
2/26/2019,47674028
2/25/2019,46182635
2/24/2019,41385173
2/23/2019,44140498
2/22/2019,46579792
2/21/2019,51314305
2/20/2019,49668456
2/19/2019,48484376
2/18/2019,47046933
2/17/2019,42104788
2/16/2019,45069668
2/15/2019,46356298
2/14/2019,45662901
2/13/2019,44780588
2/12/2019,42914689
2/11/2019,40812509
2/10/2019,36554011
2/9/2019,32720196
2/8/2019,30930206
2/7/2019,29334067
2/6/2019,28672921
2/5/2019,29076030
2/4/2019,34616692
2/3/2019,32012300
2/2/2019,34421306
2/1/2019,39947033
1/31/2019,43465600
1/30/2019,45571268
1/29/2019,46530730
1/28/2019,46711728
1/27/2019,43617294
1/26/2019,46464391
1/25/2019,48772546
1/24/2019,49519820
1/23/2019,49725107
1/22/2019,50149622
1/21/2019,49046655
1/20/2019,45098786
1/19/2019,47999437
1/18/2019,50039231
1/17/2019,50703514
1/16/2019,50000152
1/15/2019,49170936
1/14/2019,48460594
1/13/2019,44453521
1/12/2019,48171844
1/11/2019,50532798
1/10/2019,51586608
1/9/2019,50774962
1/8/2019,49801894
1/7/2019,48611426
1/6/2019,44927937
1/5/2019,48717964
1/4/2019,49993971
1/3/2019,50257636
1/2/2019,48531721
1/1/2019,41182664
12/31/2018,42281015
12/30/2018,42016083
12/29/2018,44340180
12/28/2018,46489987
12/27/2018,48477140
12/26/2018,48722000
12/25/2018,47862676
12/24/2018,46649504
12/23/2018,43469670
12/22/2018,46831728
12/21/2018,48398271
12/20/2018,48266473
12/19/2018,47726814
12/18/2018,47068198
12/17/2018,46822828
12/16/2018,43353843
12/15/2018,46389365
12/14/2018,49416383
12/13/2018,50202555
12/12/2018,49236249
12/11/2018,47311354
12/10/2018,45964916
12/9/2018,41647625
12/8/2018,44053744
12/7/2018,49868465
12/6/2018,52068996
12/5/2018,51614506
12/4/2018,51653439
12/3/2018,50119199
12/2/2018,43818047
12/1/2018,46637581
11/30/2018,47976318
11/29/2018,47475723
11/28/2018,47226156
11/27/2018,46800332
11/26/2018,45884474
11/25/2018,41219305
11/24/2018,44443844
11/23/2018,46288008
11/22/2018,46268086
11/21/2018,51564671
11/20/2018,50537990
11/19/2018,48231685
11/18/2018,45898083
11/17/2018,49563328
11/16/2018,
11/15/2018,52271846
11/14/2018,50879952
11/13/2018,50018584
11/12/2018,48496444
11/11/2018,43347396
11/10/2018,45564204
11/9/2018,47834834
11/8/2018,49741244
11/7/2018,52976307
11/6/2018,52181747
11/5/2018,50236084
11/4/2018,43556325
11/3/2018,46537957
11/2/2018,48208826
11/1/2018,48657593
10/31/2018,49662062
10/30/2018,50784830
10/29/2018,49956080
10/28/2018,43398464
10/27/2018,46725657
10/26/2018,53631175
10/25/2018,53160534
10/24/2018,49850191
10/23/2018,51118256
10/22/2018,52713420
10/21/2018,46030518
10/20/2018,46834468
10/19/2018,
10/18/2018,47142349
