,TIME,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM2.5,PM1
TIME,1.0,-0.11054557660350893,0.00038803390475212595,0.061302029891886566,-0.22089492578350234,0.021430953863225407,-0.08049738954597238,0.1915421713006781,-0.42793002659287555,-0.3505528480994833,-0.29190772894142514
WIND_SPEED,-0.11054557660350893,1.0,0.10318557879013034,0.3359369714421726,0.11143660091714043,-0.32622202639361175,0.14720937103444512,0.2605140045501814,-0.16243154668139065,-0.2643679128806574,-0.31479221318223205
WIND_DIR,0.00038803390475212595,0.10318557879013034,1.0,0.14651639259399252,0.14305182004465963,-0.11081174491650966,0.04599927433930846,0.10185278063431451,0.013931864318576754,-0.009030712814474874,-0.01569154856774017
TEMP,0.061302029891886566,0.3359369714421726,0.14651639259399252,1.0,0.14915685014842933,-0.8199292874357599,0.37013696266488066,0.6690164289300545,-0.18144846739554046,-0.3876710926583209,-0.4705004724862698
RH,-0.22089492578350234,0.11143660091714043,0.14305182004465963,0.14915685014842933,1.0,-0.11793030305190381,0.41528479617989406,-0.08263169158526681,0.07245349310200884,0.04895319899767118,0.021755514981312455
BAROMETER,0.021430953863225407,-0.32622202639361175,-0.11081174491650966,-0.8199292874357599,-0.11793030305190381,1.0,-0.15882984523292107,-0.5160506742662032,0.20163984354923992,0.3541011200926166,0.43772371209487404
RADIATION,-0.08049738954597238,0.14720937103444512,0.04599927433930846,0.37013696266488066,0.41528479617989406,-0.15882984523292107,1.0,0.3210952851589025,-0.06133392756908099,-0.18773540762412938,-0.21265074851401175
INNER_TEMP,0.1915421713006781,0.2605140045501814,0.10185278063431451,0.6690164289300545,-0.08263169158526681,-0.5160506742662032,0.3210952851589025,1.0,-0.2611616833782432,-0.406135300896322,-0.4405375646706782
PM10,-0.42793002659287555,-0.16243154668139065,0.013931864318576754,-0.18144846739554046,0.07245349310200884,0.20163984354923992,-0.06133392756908099,-0.2611616833782432,1.0,0.9256319482940012,0.8579497620258395
PM2.5,-0.3505528480994833,-0.2643679128806574,-0.009030712814474874,-0.3876710926583209,0.04895319899767118,0.3541011200926166,-0.18773540762412938,-0.406135300896322,0.9256319482940012,1.0,0.979390597750587
PM1,-0.29190772894142514,-0.31479221318223205,-0.01569154856774017,-0.4705004724862698,0.021755514981312455,0.43772371209487404,-0.21265074851401175,-0.4405375646706782,0.8579497620258395,0.979390597750587,1.0
