TIME,MONTH,DAY,YEAR,HOUR,WIND_SPEED,WIND_DIR,TEMP,RH,BAROMETER,RADIATION,INNER_TEMP,PM10,PM1,PM2.5
1/1/2016 1:00,1,1,2016,1,0.83811,72.296,16.6636,0.353516,1025.58,0.98863,24.2105,,,
1/1/2016 2:00,1,1,2016,2,0.470937,4.00682,16.6047,0.353819,1024.98,1.00686,24.3074,104.185,49.7441,64.1
1/1/2016 3:00,1,1,2016,3,0.65984,345.035,16.2336,0.353993,1024.29,1.00443,24.2588,112.762,71.725,81.6
1/1/2016 4:00,1,1,2016,4,0.5633,17.3645,16.0934,0.352821,1023.79,0.98741,24.0312,73.583,42.1278,51.733
1/1/2016 5:00,1,1,2016,5,0.50966,10.0452,16.0534,0.353559,1023.83,1.0026,24.0024,69.592,48.9237,54.049
1/1/2016 6:00,1,1,2016,6,0.60866,342.787,16.0088,0.354644,1024.15,1.0099,23.8453,79.391,44.1515,54.579
1/1/2016 7:00,1,1,2016,7,0.65259,354.022,15.9815,0.353906,1024.89,0.97405,23.4235,72.4,40.134,48.917
1/1/2016 8:00,1,1,2016,8,0.56119,29.1313,16.2214,0.35447,1025.77,11.8733,23.4079,97.26,53.346,65.864
1/1/2016 9:00,1,1,2016,9,0.52022,38.4055,16.6711,0.35395,1026.55,60.507,23.5497,97.64,58.061,67.809
1/1/2016 10:00,1,1,2016,10,0.74308,58.452,17.148,0.352257,1026.88,113.396,23.7287,92.944,51.459,63.126
1/1/2016 11:00,1,1,2016,11,0.82357,36.7122,17.7438,0.356771,1026.38,356.725,24.1579,82.37,43.843,50.836
1/1/2016 12:00,1,1,2016,12,0.85179,64.564,19.0056,0.358854,1025.58,362.872,24.8392,68.811,29.3809,35.2756
1/1/2016 13:00,1,1,2016,13,0.68897,57.333,19.3454,0.355425,1024.53,267.983,25.6372,65.797,28.3844,35.6147
1/1/2016 14:00,1,1,2016,14,0.84358,72.77,19.731,0.357682,1023.68,217.483,26.3217,63.502,30.0447,37.1822
1/1/2016 15:00,1,1,2016,15,0.74612,49.817,19.603,0.356033,1023.03,177.562,26.6566,62.335,31.4611,38.7728
1/1/2016 16:00,1,1,2016,16,0.666,52.173,19.5801,0.354991,1022.68,77.668,26.6409,77.185,31.9058,41.4558
1/1/2016 17:00,1,1,2016,17,0.67512,12.6631,19.1434,0.352387,1022.65,13.8973,26.5558,75.089,25.6344,33.5856
1/1/2016 18:00,1,1,2016,18,0.67274,33.5956,18.8594,0.354905,1022.76,1.02387,26.1094,74.427,30.8996,41.5454
1/1/2016 19:00,1,1,2016,19,0.89585,71.187,18.6365,0.355035,1023.17,1.01111,25.4892,73.216,38.8175,48.9494
1/1/2016 20:00,1,1,2016,20,0.58286,12.4389,18.4421,0.354557,1023.64,0.99957,25.4606,78.345,43.5403,52.848
1/1/2016 21:00,1,1,2016,21,0.72277,328.154,18.272,0.356771,1023.86,1.01111,25.3489,106.144,48.8236,71.776
1/1/2016 22:00,1,1,2016,22,0.67234,331.016,18.0986,0.357726,1023.84,1.02934,25.1902,93.344,52.847,63.358
1/1/2016 23:00,1,1,2016,23,0.477817,10.178,17.8204,0.35638,1023.82,1.00321,25.0791,100.154,57.505,68.385
1/2/2016 0:00,1,2,2016,0,0.6689,353.614,17.6543,0.353429,1023.76,0.9947,25.0791,146.028,96.133,109.339
1/2/2016 1:00,1,2,2016,1,0.6121,328.611,17.4474,0.352778,1023.37,1.03359,25.2079,113.803,72.868,83.69
1/2/2016 2:00,1,2,2016,2,0.59178,1.55322,17.352,0.350911,1022.71,1.00503,25.2652,108.663,70.727,80.533
1/2/2016 3:00,1,2,2016,3,0.62127,49.956,17.4138,0.348437,1021.94,0.99653,25.2104,105.695,73.635,82.989
1/2/2016 4:00,1,2,2016,4,0.494088,19.8491,17.4684,0.350955,1021.4,1.03116,25.0984,92.973,60.528,69.715
1/2/2016 5:00,1,2,2016,5,0.50999,1.42505,17.2608,0.351389,1021.18,1.02083,25.1216,96.852,69.027,77.279
1/2/2016 6:00,1,2,2016,6,0.65762,335.96,17.0011,0.352778,1021.45,1.04089,24.9366,69.577,42.8461,50.184
1/2/2016 7:00,1,2,2016,7,0.6762,345.551,16.9246,0.352257,1022.23,1.03724,24.4487,69.811,39.8496,49.0733
1/2/2016 8:00,1,2,2016,8,0.64522,348.605,17.1338,0.352561,1022.85,11.4844,24.3634,84.969,46.1292,58.064
1/2/2016 9:00,1,2,2016,9,0.77222,324.038,17.5908,0.356641,1023.65,45.8409,24.4661,97.049,57.774,67.738
1/2/2016 10:00,1,2,2016,10,0.69584,344.479,18.1956,0.357639,1023.66,133.953,24.6485,88.857,57.606,67.112
1/2/2016 11:00,1,2,2016,11,0.73534,56.486,19.3688,0.357943,1022.88,307.634,25.2037,79.691,45.1662,52.987
1/2/2016 12:00,1,2,2016,12,0.56887,145.082,20.8209,0.355816,1021.96,298.576,26.1846,94.743,47.8652,57.9
1/2/2016 13:00,1,2,2016,13,0.39422,200.442,21.2827,0.354774,1020.58,291.723,27.1787,85.154,46.2271,54.206
1/2/2016 14:00,1,2,2016,14,1.42083,128.74,22.5569,0.358247,1019.03,503.98,28.0537,99.372,43.9664,53.543
1/2/2016 15:00,1,2,2016,15,1.21997,134.154,23.6194,0.355469,1017.98,365.539,28.9085,163.866,33.3428,46.8228
1/2/2016 16:00,1,2,2016,16,0.96667,102.052,22.6659,0.355208,1017.85,145.114,28.9196,82.942,37.3244,47.0478
1/2/2016 17:00,1,2,2016,17,1.10882,87.996,21.9787,0.354601,1018.13,19.6559,28.9206,91.672,42.2447,52.768
1/2/2016 18:00,1,2,2016,18,0.94561,105.667,21.409,0.351259,1018.33,0.98194,28.391,91.816,42.7442,51.961
1/2/2016 19:00,1,2,2016,19,0.74737,110.68,20.7899,0.351563,1018.91,0.96736,27.637,91.327,46.2678,54.767
1/2/2016 20:00,1,2,2016,20,0.71393,163.744,20.3171,0.354644,1019.61,0.96432,27.4789,102.042,57.109,68.905
1/2/2016 21:00,1,2,2016,21,0.79672,212.816,19.8852,0.355816,1020.22,0.99714,27.2438,149.375,86.322,137.042
1/2/2016 22:00,1,2,2016,22,0.70161,315.882,19.9683,0.354253,1020.2,0.98073,26.9735,146.775,82,98.876
1/2/2016 23:00,1,2,2016,23,0.69973,307.45,19.4239,0.353212,1020.01,0.9625,26.7873,156.1,83.058,104.374
1/3/2016 0:00,1,3,2016,0,0.6699,345.089,18.9158,0.355078,1019.59,0.96615,26.3649,138.947,76.397,93.676
1/3/2016 1:00,1,3,2016,1,0.56118,312.306,18.6861,0.355686,1019.09,0.98802,25.7935,144.921,76.56,96.849
1/3/2016 2:00,1,3,2016,2,0.54549,303.151,18.7577,0.356076,1018.31,0.97465,25.745,132.563,73.801,90.854
1/3/2016 3:00,1,3,2016,3,0.5822,330.698,18.7927,0.354384,1017.77,0.98924,25.7064,130.828,73.629,90.247
1/3/2016 4:00,1,3,2016,4,0.6992,328.705,18.7381,0.355903,1017.48,1.00564,25.6975,,,
1/3/2016 5:00,1,3,2016,5,0.79559,318.317,18.7082,0.355773,1017.38,1.03056,25.7262,118.003,76.417,87.857
1/3/2016 6:00,1,3,2016,6,0.7961,319.216,18.5326,0.355903,1017.64,1.02205,25.64,133.477,81.088,94.459
1/3/2016 7:00,1,3,2016,7,0.87734,314.94,18.2382,0.357378,1018.03,1.15573,25.437,141.506,86.455,101.945
1/3/2016 8:00,1,3,2016,8,0.74444,318.841,18.0774,0.358116,1018.79,65.334,25.3536,154.535,90.31,108.121
1/3/2016 9:00,1,3,2016,9,0.9925,320.439,18.6403,0.358333,1019.26,224.307,25.4648,157.45,97.281,116.004
1/3/2016 10:00,1,3,2016,10,1.01333,311.203,19.2105,0.360156,1019.53,414.011,25.7671,147.222,95.686,113.356
1/3/2016 11:00,1,3,2016,11,1.1486,314.494,20.3987,0.35816,1019.13,506.91,26.2689,124.122,80.031,93.644
1/3/2016 12:00,1,3,2016,12,0.92098,298.173,21.8433,0.357769,1018.06,486.055,27.0506,116.064,71.313,83.193
1/3/2016 13:00,1,3,2016,13,1.09621,295.695,23.1158,0.358724,1016.5,664.23,28.06,95.033,54.819,65.592
1/3/2016 14:00,1,3,2016,14,0.59103,347.43,24.2728,0.356814,1015.13,459.09,28.5924,69.15,40.9011,47.9203
1/3/2016 15:00,1,3,2016,15,0.90869,103.797,24.8114,0.352691,1014.57,355.651,28.7475,96.484,39.4503,49.7552
1/3/2016 16:00,1,3,2016,16,1.2575,144.612,24.9133,0.353646,1014.32,191.454,28.7878,101.481,42.3322,52.755
1/3/2016 17:00,1,3,2016,17,1.40542,145.11,24.242,0.353038,1014.65,48.1049,28.764,102.866,42.7296,52.855
1/3/2016 18:00,1,3,2016,18,1.73107,150.776,23.4056,0.353689,1014.96,1.03785,28.3537,103.2,42.6849,52.381
1/3/2016 19:00,1,3,2016,19,2.06248,148.849,22.7762,0.355599,1015.65,1.02266,27.6357,116.054,52.7,65.453
