time,factor,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/01,AMB_TEMP,16,16,16,16,16,15,15,15,16,17,19,19,20,20,20,20,19,18,18,17,17,17,17,17
2014/01/01,CO,0.24,0.28,0.24,0.19,0.19,0.23,0.4,0.48,0.44,0.4,0.39,0.33,0.31,0.24,0.29,0.33,0.33,0.35,0.36,0.35,0.28,0.27,0.26,0.28
2014/01/01,NO,1.6,1.4,1.2,0.4,0.4,0.6,3.7,8,5,4.9,4.9,3,1.6,0.6,0.8,1,1,0.6,0.6,0.4,0.4,0.6,0.5,0.6
2014/01/01,NO2,6.4,7.5,4.5,3.1,3.7,6.8,16,17,15,13,16,13,9.6,6,9.1,17,19,15,15,14,9.6,6.8,6,7.2
2014/01/01,NOx,8,8.9,5.7,3.5,4,7.5,20,25,20,18,21,16,11,6.5,9.9,18,20,16,16,15,10,7.3,6.5,7.8
2014/01/01,O3,38,36,38,38,39,34,25,20,19,20,28,44,55,60,58,43,33,33,30,28,36,39,39,35
2014/01/01,PM10,39,37,37,37,37,39,48,61,62,60,70,66,55,48,44,46,50,54,60,60,54,49,45,44
2014/01/01,PM2.5,14,14,14,14,16,22,28,28,23,26,29,25,23,26,29,21,21,29,25,26,28,24,25,22
2014/01/01,RH,82,84,84,85,86,87,90,91,87,85,77,65,62,63,63,69,76,80,83,86,84,84,86,88
2014/01/01,SO2,1.7,1.1,1.2,1,1.1,1,1.2,1.2,1.1,1.7,1.9,2.4,2.8,2.8,3.8,3.1,2.6,2.7,3.3,3.2,2.3,1.7,1.5,1.5
2014/01/01,WD_HR,281,305,306,283,299,292,297,295,303,303,307,313,296,214,180,175,206,223,267,226,245,254,266,242
2014/01/01,WIND_DIREC,277,293,323,287,295,267,223,315,301,311,311,308,257,197,189,162,206,238,287,243,245,270,221,249
2014/01/01,WIND_SPEED,1.5,1.1,1.6,1.3,1.6,0.6,0.7,1.4,1.8,1.2,1.7,1.9,1.6,1.6,1.5,0.8,1.5,0.8,1.3,0.9,1.3,0.8,1,1
2014/01/01,WS_HR,1.1,1,1.4,1.2,1.4,1.1,0.8,0.6,1.3,1,1.3,1.9,1.5,1.2,1.1,1.3,1.1,1,0.8,0.9,1.1,0.9,1,0.6
2014/01/02,AMB_TEMP,17,17,17,17,16,16,15,15,16,20,22,23,23,23,24,24,23,21,20,19,18,18,17,17
2014/01/02,CO,0.25,0.24,0.26,0.26,0.27,0.28,0.41,0.64,0.52,0.58,0.43,0.42,0.4,0.37,0.36,0.31,0.29,0.29,0.36,0.32,0.34,0.35,0.33,0.38
2014/01/02,NO,0.6,0.5,0.6,2.8,2.1,11,11,12,18,36,15,12,7.3,8.1,8.2,3.5,2,1.2,1.1,1.1,1.5,2,2.4,2.3
2014/01/02,NO2,5.8,5.9,7.7,12,10,12,18,20,21,32,25,23,20,23,23,19,13,14,12,10,16,14,14,14
2014/01/02,NOx,6.4,6.4,8.3,15,12,23,29,32,39,68,40,35,28,31,32,22,15,15,14,11,17,16,16,16
2014/01/02,O3,37,37,32,23,20,20,12,12,13,14,31,37,42,39,40,42,48,40,36,32,25,21,19,13
2014/01/02,PM10,44,43,43,40,40,42,45,56,65,103,104,66,61,60,59,57,59,55,51,48,49,50,48,46
2014/01/02,PM2.5,26,26,23,28,28,23,24,22,22,30,30,28,27,21,20,21,23,24,20,22,29,31,26,22
2014/01/02,RH,87,86,87,89,92,93,94,94,89,76,64,59,60,66,64,63,70,76,83,86,89,91,93,93
2014/01/02,SO2,1.5,2.1,1.6,1.4,1.4,1.4,1.4,1.4,2.1,2.6,4.3,4.6,8,5.3,5.4,4.8,2.9,2.4,1.8,1.9,1.7,1.8,2.1,1.6
2014/01/02,WD_HR,268,234,320,321,268,265,289,294,263,29,41,68,93,94,65,230,250,249,226,243,273,264,293,274
2014/01/02,WIND_DIREC,280,235,276,345,307,96,286,283,347,35,31,59,122,63,71,251,243,252,205,313,120,220,147,303
