TIME,MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
1/1/2014 0:00,1,1,2014,0,11,0.36,-0.3,16,16,47,70,5.4,315,316,2.1,1.9,77,49
1/1/2014 1:00,1,1,2014,1,11,0.35,-0.2,11,11,53,71,5.1,321,315,1.7,1.9,76,48
1/1/2014 2:00,1,1,2014,2,11,0.46,-0.1,14,14,44,74,4.5,317,318,2.4,2.1,79,47
1/1/2014 3:00,1,1,2014,3,10,0.73,0.7,16,17,38,75,6.6,309,319,2.5,2.5,84,53
1/1/2014 4:00,1,1,2014,4,10,1.49,0.7,20,20,33,77,8.3,318,299,2.9,2.3,99,59
1/1/2014 5:00,1,1,2014,5,10,1.77,0.3,17,17,35,71,10,107,106,2.8,1.1,111,63
1/1/2014 6:00,1,1,2014,6,11,2.14,0.9,17,18,33,67,10,104,95,3.2,0.9,108,63
1/1/2014 7:00,1,1,2014,7,11,1.82,2.3,17,19,34,67,7.8,64,55,3.2,2,100,63
1/1/2014 8:00,1,1,2014,8,11,1.26,2.5,13,16,37,66,6,49,51,3.9,2.4,89,58
1/1/2014 9:00,1,1,2014,9,12,0.68,2.4,10,13,40,61,4.4,47,64,4.3,3.3,77,48
1/1/2014 10:00,1,1,2014,10,13,0.43,2.3,9.3,12,43,55,3.8,57,51,4.4,2.9,66,41
1/1/2014 11:00,1,1,2014,11,13,0.38,2.1,9,11,47,55,4.2,59,52,3.5,1.7,61,40
1/1/2014 12:00,1,1,2014,12,14,0.4,1.6,8.4,10,56,51,4.2,52,57,2.6,1.9,62,43
1/1/2014 13:00,1,1,2014,13,14,0.44,1,8.2,9.2,67,45,5,50,51,3.5,2.8,65,44
1/1/2014 14:00,1,1,2014,14,14,0.37,0.7,7.1,7.8,75,49,4.2,56,74,2.5,2.6,60,42
1/1/2014 15:00,1,1,2014,15,14,0.34,0.6,6.5,7.1,77,48,3.9,59,51,3.3,2.5,57,39
1/1/2014 16:00,1,1,2014,16,13,0.33,0.6,11,12,72,56,4.4,47,44,2.6,2.3,64,37
1/1/2014 17:00,1,1,2014,17,13,0.34,0.9,9.4,10,74,63,3.5,45,44,2.3,2.2,65,41
1/1/2014 18:00,1,1,2014,18,12,0.32,0.5,8.8,9.3,71,67,3.3,44,37,2.2,2.2,66,43
1/1/2014 19:00,1,1,2014,19,12,0.31,0.6,8.2,8.8,70,69,3.3,53,82,2,1.2,67,41
1/1/2014 20:00,1,1,2014,20,12,0.32,0.5,8.9,9.4,69,69,3.7,129,204,3.1,0.5,65,39
1/1/2014 21:00,1,1,2014,21,12,0.3,0.5,9.9,10,68,69,4,120,126,3.6,1.1,62,39
1/1/2014 22:00,1,1,2014,22,12,0.31,0.3,10,10,70,69,4.5,141,179,3.8,0.8,67,44
1/1/2014 23:00,1,1,2014,23,12,0.29,0.2,7.5,7.7,67,65,3.5,276,299,2.9,0.8,65,44
1/2/2014 0:00,1,2,2014,0,13,0.29,0.3,7,7.3,67,58,3.8,288,235,3.1,1.4,56,42
1/2/2014 1:00,1,2,2014,1,13,0.67,-0.1,8.1,8,64,63,4.7,306,272,3.2,0.1,59,40
1/2/2014 2:00,1,2,2014,2,12,1.87,0.5,13,13,52,67,6.5,63,65,3,1.4,72,43
1/2/2014 3:00,1,2,2014,3,12,3.12,0.4,20,20,42,67,8.1,76,84,2.4,0.8,92,52
1/2/2014 4:00,1,2,2014,4,13,1.81,0.6,15,16,46,67,7.7,68,68,3,0.6,93,51
1/2/2014 5:00,1,2,2014,5,12,2.05,0.3,16,17,43,68,9.7,106,121,3.1,1,90,50
1/2/2014 6:00,1,2,2014,6,12,1.31,0.4,14,14,43,69,7.3,100,84,3.1,0.7,87,49
1/2/2014 7:00,1,2,2014,7,12,1.77,1.7,16,18,42,67,8.8,67,69,3.1,1.2,78,47
1/2/2014 8:00,1,2,2014,8,13,1.44,2.7,16,18,44,64,7.6,81,60,3,1.4,78,48
1/2/2014 9:00,1,2,2014,9,13,0.52,1.8,10,12,51,60,3.9,95,87,4.2,1.4,72,47
1/2/2014 10:00,1,2,2014,10,13,0.5,2.6,12,15,49,62,4.6,80,75,3.5,1.4,68,47
1/2/2014 11:00,1,2,2014,11,15,0.47,2.6,12,15,53,58,4.5,43,50,2.7,2.1,70,48
1/2/2014 12:00,1,2,2014,12,16,0.66,1.9,13,15,61,53,5.2,27,45,2,1.3,66,44
1/2/2014 13:00,1,2,2014,13,16,0.53,2.1,11,13,68,49,5.2,43,49,2.4,1.4,62,39
1/2/2014 14:00,1,2,2014,14,16,0.46,1.7,12,14,70,55,4.7,46,48,2.3,1.7,59,39
1/2/2014 15:00,1,2,2014,15,15,0.34,1.4,12,14,72,56,4,55,88,2.3,2.2,57,35
1/2/2014 16:00,1,2,2014,16,15,0.34,0.4,13,13,71,56,3.5,49,46,3.4,1.9,56,33
1/2/2014 17:00,1,2,2014,17,14,0.38,1.3,13,15,11,62,3.6,52,56,1.8,1.1,64,37
1/2/2014 18:00,1,2,2014,18,14,0.34,0.7,12,12,73,67,3.7,44,112,2,0.4,64,39
