TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
2014/01/01 0:00,11.0,0.36,-0.3,16.0,16.0,47.0,70.0,5.4,315.0,316.0,2.1,1.9,77.0,49.0
2014/01/01 1:00,11.0,0.35,-0.2,11.0,11.0,53.0,71.0,5.1,321.0,315.0,1.7,1.9,76.0,48.0
2014/01/01 2:00,11.0,0.46,-0.1,14.0,14.0,44.0,74.0,4.5,317.0,318.0,2.4,2.1,79.0,47.0
2014/01/01 3:00,10.0,0.73,0.7,16.0,17.0,38.0,75.0,6.6,309.0,319.0,2.5,2.5,84.0,53.0
2014/01/01 4:00,10.0,1.49,0.7,20.0,20.0,33.0,77.0,8.3,318.0,299.0,2.9,2.3,99.0,59.0
2014/01/01 5:00,10.0,1.77,0.3,17.0,17.0,35.0,71.0,10.0,107.0,106.0,2.8,1.1,111.0,63.0
2014/01/01 6:00,11.0,2.14,0.9,17.0,18.0,33.0,67.0,10.0,104.0,95.0,3.2,0.9,108.0,63.0
2014/01/01 7:00,11.0,1.82,2.3,17.0,19.0,34.0,67.0,7.8,64.0,55.0,3.2,2.0,100.0,63.0
2014/01/01 8:00,11.0,1.26,2.5,13.0,16.0,37.0,66.0,6.0,49.0,51.0,3.9,2.4,89.0,58.0
2014/01/01 9:00,12.0,0.68,2.4,10.0,13.0,40.0,61.0,4.4,47.0,64.0,4.3,3.3,77.0,48.0
2014/01/01 10:00,13.0,0.43,2.3,9.3,12.0,43.0,55.0,3.8,57.0,51.0,4.4,2.9,66.0,41.0
2014/01/01 11:00,13.0,0.38,2.1,9.0,11.0,47.0,55.0,4.2,59.0,52.0,3.5,1.7,61.0,40.0
2014/01/01 12:00,14.0,0.4,1.6,8.4,10.0,56.0,51.0,4.2,52.0,57.0,2.6,1.9,62.0,43.0
2014/01/01 13:00,14.0,0.44,1.0,8.2,9.2,67.0,45.0,5.0,50.0,51.0,3.5,2.8,65.0,44.0
