TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
1.3885344e+18,15.0,0.5,1.5,12.0,14.0,31.0,81.0,3.9,51.0,48.013568648079946,1.0,0.7,60.0,30.0
1.388538e+18,15.0,0.41,1.3,10.0,12.0,34.0,80.0,3.5,60.0,47.81208868759208,0.7,0.8,59.0,28.0
1.3885416e+18,15.0,0.4,1.1,8.8,9.9,36.0,82.0,5.6,58.0,47.883640909569415,0.7,0.8,49.0,21.0
1.3885452e+18,15.0,0.37,1.1,6.9,8.0,35.0,84.0,5.5,55.0,47.30518218197131,0.9,0.7,43.0,24.0
1.3885488e+18,15.0,0.33,0.8,6.4,7.2,35.0,84.0,2.7,61.0,47.18568405537727,0.8,0.9,42.0,23.0
1.3885524e+18,15.0,0.36,0.8,7.1,7.9,34.0,84.0,3.5,54.0,46.82164972881884,0.7,0.9,42.0,22.0
1.388556e+18,15.0,0.36,1.0,6.0,6.9,36.0,84.0,2.3,57.0,45.36485757910824,1.0,0.8,38.0,22.0
1.3885596e+18,15.0,0.51,1.2,12.0,13.0,31.0,83.0,2.5,52.0,44.24861934600599,0.6,0.7,44.0,26.0
1.3885632e+18,16.0,0.48,1.5,13.0,15.0,30.0,82.0,3.4,42.0,41.01268371624133,0.9,0.9,55.0,29.0
1.3885668e+18,17.0,0.37,2.5,12.0,14.0,28.0,80.0,2.3,42.0,37.679122901420705,1.2,1.0,56.0,30.0
1.3885704e+18,18.0,0.37,2.3,9.7,12.0,38.0,75.0,2.5,44.0,35.78526745675841,1.2,1.0,57.0,28.0
1.388574e+18,20.0,0.37,1.4,6.2,7.6,61.0,65.0,3.7,62.0,35.01416118243613,1.0,1.1,59.0,29.0
1.3885776e+18,20.0,0.37,1.0,6.1,7.2,65.0,63.0,3.6,44.0,34.087792843691055,1.1,1.1,55.0,29.0
1.3885812e+18,20.0,0.36,1.1,6.0,7.1,67.0,61.0,3.2,27.0,33.61436180473702,1.4,1.4,54.0,26.0
1.3885848e+18,21.0,0.34,1.3,5.2,6.5,69.0,61.0,3.2,17.0,33.7289292011756,2.1,1.9,55.0,25.0
1.3885884e+18,20.0,0.39,0.9,7.0,7.8,67.0,63.0,3.1,14.0,34.167129027138515,1.3,1.7,50.0,27.0
1.388592e+18,20.0,0.56,1.2,15.0,16.0,58.0,66.0,3.1,29.0,35.651572264081466,0.8,0.9,50.0,27.0
1.3885956e+18,19.0,0.69,1.3,20.0,22.0,49.0,70.0,3.1,23.0,38.07681703337188,0.8,0.8,55.0,30.0
1.3885992e+18,19.0,0.49,0.9,16.0,17.0,53.0,71.0,2.9,27.0,41.45730147871389,1.3,1.5,54.0,32.0
1.3886028e+18,19.0,0.51,1.0,18.0,19.0,49.0,70.0,2.7,32.0,45.27073308072833,1.0,1.1,50.0,29.0
1.3886064e+18,18.0,0.5,1.1,18.0,19.0,46.0,73.0,2.6,9.7,47.68148342977385,1.6,1.4,57.0,28.0
1.38861e+18,18.0,0.38,0.8,12.0,13.0,49.0,80.0,2.2,29.0,48.807966573816,1.3,1.2,56.0,27.0
1.3886136e+18,17.0,0.42,1.0,11.0,12.0,41.0,82.0,2.4,41.0,48.6539784494087,0.7,0.7,51.0,25.0
1.3886172e+18,17.0,0.34,0.8,8.4,9.3,39.0,86.0,2.4,39.0,48.317309148265,0.7,0.8,49.0,23.0
1.3886208e+18,17.0,0.31,0.8,6.7,7.6,39.0,87.0,2.2,24.0,48.013568648079946,0.8,0.7,43.0,26.0
1.3886244e+18,17.0,0.27,0.8,4.1,4.9,41.0,85.0,1.9,38.0,47.81208868759208,0.6,0.8,39.0,29.0
1.388628e+18,17.0,0.32,0.7,6.2,7.0,33.0,88.0,1.8,53.0,47.883640909569415,0.6,0.6,38.0,28.0
1.3886316e+18,17.0,0.28,0.8,5.0,5.8,36.0,87.0,2.2,41.0,47.30518218197131,0.7,0.8,43.0,27.0
1.3886352e+18,17.0,0.31,0.7,5.3,6.0,34.0,89.0,2.2,51.0,47.18568405537727,1.2,0.9,45.0,25.0
1.3886388e+18,16.0,0.29,0.6,4.1,4.7,34.0,85.0,1.9,50.0,46.82164972881884,1.5,1.3,42.0,26.0
1.3886424e+18,16.0,0.41,0.7,7.7,8.4,28.0,88.0,3.0,42.0,45.36485757910824,0.9,0.9,39.0,27.0
1.388646e+18,16.0,0.95,7.4,23.0,31.0,18.0,85.0,5.5,35.0,44.24861934600599,0.7,0.8,49.0,29.0
1.3886496e+18,18.0,0.54,4.1,14.0,18.0,26.0,71.0,2.1,37.0,41.01268371624133,0.9,0.8,51.0,28.0
1.3886532e+18,21.0,0.29,2.8,6.5,9.2,33.0,60.0,1.8,44.0,37.679122901420705,1.2,1.0,42.0,18.0
1.3886568e+18,23.0,0.32,1.7,5.7,7.3,42.0,52.0,1.5,38.0,35.78526745675841,1.8,1.2,45.0,16.0
