16/02/2020 21:49:47,6.693541836,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
16/02/2020 22:01:56,5.952965069,,,,,,,,,,,,,,,,
AMB_TEMP,CO,NO2,NOx,WIND_DIREC,WS_HR,PM10,PM2.5,,,,,,,,,,
16/02/2020 22:06:33,8.241409423,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO2,O3,SO2,WIND_SPEED,PM2.5,,,,,,,,
16/02/2020 22:11:49,5.656437855,,,,,,,,,,,,,,,,
DAY,HOUR,CO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5,,,,
16/02/2020 22:17:49,6.35434606,,,,,,,,,,,,,,,,
YEAR,HOUR,AMB_TEMP,CO,NO2,RH,SO2,WIND_DIREC,WIND_SPEED,PM10,PM2.5,,,,,,,
16/02/2020 22:24:21,10.72636068,,,,,,,,,,,,,,,,
MONTH,DAY,HOUR,NO2,NOx,SO2,WD_HR,WIND_DIREC,PM2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,
"B? sung thu?c t�nh lagged, temporal�",,,,,,,,,,,,,,,,,
17/02/2020 13:25:41,3.630852146,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,
17/02/2020 13:44:41,3.887919463,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17/02/2020 13:59:55,3.842668294,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO2,NOx,WIND_DIREC,WIND_SPEED,WS_HR,,,,,,,,,,,
17/02/2020 14:15:03,3.505796217,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,AMB_TEMP,CO,O3,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,
17/02/2020 14:30:44,3.763941428,,,,,,,,,,,,,,,,
HOUR,NO,NO2,O3,RH,SO2,WD_HR,WIND_DIREC,WS_HR,,,,,,,,,
17/02/2020 14:46:16,3.591722595,,,,,,,,,,,,,,,,
DAY,YEAR,AMB_TEMP,CO,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,,,
17/02/2020 15:01:18,3.594996949,,,,,,,,,,,,,,,,
MONTH,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,,,,,,
17/02/2020 15:26:57,3.835692495,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO,NOx,O3,WD_HR,WIND_DIREC,,,,,,,,,,,
17/02/2020 15:43:02,3.64643075,,,,,,,,,,,,,,,,
YEAR,NO2,NOx,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,
17/02/2020 15:59:22,3.604616636,,,,,,,,,,,,,,,,
MONTH,YEAR,AMB_TEMP,NO2,RH,SO2,WD_HR,WS_HR,PM10,,,,,,,,,
17/02/2020 16:16:13,3.860646736,,,,,,,,,,,,,,,,
MONTH,AMB_TEMP,CO,O3,RH,,,,,,,,,,,,,
17/02/2020 16:31:40,3.64584096,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,O3,WIND_DIREC,WS_HR,PM10,,,,,,,
17/02/2020 20:55:55,3.623733984136669

MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10
17/02/2020 21:18:05,3.8250355908074023

