16/02/2020 21:49:48,5.157865556,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
16/02/2020 22:01:57,4.347971162,,,,,,,,,,,,,,,,
AMB_TEMP,CO,NO2,NOx,WIND_DIREC,WS_HR,PM10,PM2.5,,,,,,,,,,
16/02/2020 22:06:33,6.257081641,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO2,O3,SO2,WIND_SPEED,PM2.5,,,,,,,,
16/02/2020 22:11:50,4.197845248,,,,,,,,,,,,,,,,
DAY,HOUR,CO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5,,,,
16/02/2020 22:17:50,5.049120634,,,,,,,,,,,,,,,,
YEAR,HOUR,AMB_TEMP,CO,NO2,RH,SO2,WIND_DIREC,WIND_SPEED,PM10,PM2.5,,,,,,,
16/02/2020 22:24:22,8.381391145,,,,,,,,,,,,,,,,
MONTH,DAY,HOUR,NO2,NOx,SO2,WD_HR,WIND_DIREC,PM2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lagged,,,,,,,,,,,,,,,,,
17/02/2020 13:25:44,2.588684157,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,
17/02/2020 13:44:43,2.842112338,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17/02/2020 13:59:58,2.789151922,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO2,NOx,WIND_DIREC,WIND_SPEED,WS_HR,,,,,,,,,,,
17/02/2020 14:15:05,2.629851535,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,AMB_TEMP,CO,O3,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,
17/02/2020 14:30:47,2.740819605,,,,,,,,,,,,,,,,
HOUR,NO,NO2,O3,RH,SO2,WD_HR,WIND_DIREC,WS_HR,,,,,,,,,
17/02/2020 14:46:18,2.58928615,,,,,,,,,,,,,,,,
DAY,YEAR,AMB_TEMP,CO,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,,,
17/02/2020 15:01:21,2.594002441,,,,,,,,,,,,,,,,
MONTH,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,,,,,,
17/02/2020 15:27:00,2.823052674,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO,NOx,O3,WD_HR,WIND_DIREC,,,,,,,,,,,
17/02/2020 15:43:04,2.676662599,,,,,,,,,,,,,,,,
YEAR,NO2,NOx,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,
17/02/2020 15:59:25,2.664606467,,,,,,,,,,,,,,,,
MONTH,YEAR,AMB_TEMP,NO2,RH,SO2,WD_HR,WS_HR,PM10,,,,,,,,,
17/02/2020 16:16:17,2.718832622,,,,,,,,,,,,,,,,
MONTH,AMB_TEMP,CO,O3,RH,,,,,,,,,,,,,
17/02/2020 16:31:43,2.599198698,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,O3,WIND_DIREC,WS_HR,PM10,,,,,,,
17/02/2020 20:55:58,2.6215232865568434

MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10
