PM10,PM2.5
71.0,47.0
71.0,45.0
69.0,44.0
68.0,38.0
70.0,37.0
64.0,37.0
60.0,35.0
58.99999999999999,34.0
58.0,36.0
58.0,36.0
55.99999999999999,29.0
52.00000000000001,27.0
48.0,24.0
42.0,18.0
40.0,15.0
40.0,14.0
37.0,16.0
38.0,16.0
42.0,19.0
48.99999999999999,24.0
50.0,27.0
44.0,26.0
47.0,27.0
48.0,28.0
48.0,29.0
44.0,24.0
44.0,20.0
41.0,17.0
43.0,14.0
41.0,15.0
37.0,13.0
40.0,15.0
39.0,13.0
35.0,10.0
32.0,11.0
33.0,13.0
31.000000000000004,12.0
31.000000000000004,12.0
36.0,14.0
34.0,15.0
34.0,14.0
37.0,14.0
33.0,13.0
33.0,13.0
33.0,14.0
40.0,17.0
45.0,17.0
46.0,16.0
48.0,19.0
50.0,19.0
50.0,18.0
48.99999999999999,18.0
42.0,17.0
37.0,16.0
40.0,11.0
36.0,11.0
36.0,11.0
36.0,11.0
37.0,12.0
47.0,17.0
48.99999999999999,20.0
42.0,17.0
39.0,17.0
43.0,17.0
46.0,12.0
39.0,17.0
40.0,23.0
50.0,20.0
55.99999999999999,21.0
54.0,22.0
50.0,21.0
48.99999999999999,25.0
48.99999999999999,34.0
55.0,36.0
55.99999999999999,33.0
55.0,32.0
54.0,28.0
55.0,24.0
55.0,28.0
64.0,33.0
72.0,30.999999999999996
72.0,32.0
68.0,35.0
63.0,34.0
58.0,34.0
52.00000000000001,34.0
45.0,26.0
41.0,18.0
46.0,19.0
57.0,28.0
67.0,41.0
74.0,46.0
71.0,44.0
72.0,46.0
75.0,45.0
86.0,50.0
107.0,64.0
113.0,68.0
106.0,66.0
101.0,60.0
95.0,59.0
102.0,68.0
126.0,77.0
132.0,75.0
110.0,63.0
97.00000000000001,56.0
89.0,50.0
72.0,41.0
63.0,35.0
63.0,33.0
63.0,32.0
62.00000000000001,32.0
58.0,34.0
60.0,43.0
69.0,49.0
78.0,47.0
87.0,50.0
90.0,59.0
85.0,61.00000000000001
88.0,56.0
90.0,56.0
81.0,58.0
78.0,55.0
71.0,50.0
58.0,40.0
52.00000000000001,30.999999999999996
48.0,28.0
50.0,26.0
51.0,22.0
48.99999999999999,27.0
53.0,30.999999999999996
55.99999999999999,30.999999999999996
55.0,30.999999999999996
48.0,30.0
46.0,27.0
48.99999999999999,19.0
45.0,21.0
45.0,29.0
47.0,30.999999999999996
44.0,27.0
57.0,34.0
73.0,40.0
74.0,40.0
68.0,35.0
67.0,36.0
68.0,40.0
66.0,42.0
64.0,44.0
73.0,41.0
67.0,34.0
51.0,29.0
48.99999999999999,28.0
45.0,27.0
48.0,28.0
48.0,27.0
45.0,26.0
44.0,23.0
43.0,27.0
47.0,32.0
48.99999999999999,30.0
48.0,28.0
48.0,27.0
45.0,22.0
48.99999999999999,22.0
57.0,25.0
69.0,30.0
71.0,35.0
62.00000000000001,34.0
52.00000000000001,23.0
38.0,12.0
27.999999999999996,12.0
26.000000000000004,13.0
39.0,16.0
44.0,21.0
32.0,17.0
25.0,12.0
24.0,13.0
24.0,15.0
29.0,16.0
26.000000000000004,11.0
23.0,10.0
27.0,11.0
24.0,10.0
26.000000000000004,11.0
27.999999999999996,12.0
29.0,12.0
31.000000000000004,15.0
31.000000000000004,16.0
33.0,11.0
35.0,14.0
42.0,20.0
48.99999999999999,21.0
44.0,19.0
41.0,21.0
44.0,27.0
43.0,23.0
42.0,24.0
45.0,26.0
42.0,22.0
38.0,19.0
34.0,19.0
34.0,19.0
34.0,15.0
34.0,13.0
31.000000000000004,12.0
27.999999999999996,13.0
37.0,16.0
45.0,19.0
45.0,18.0
44.0,20.0
42.0,19.0
34.0,16.0
34.0,18.0
36.0,19.0
33.0,18.0
35.0,15.0
42.0,21.0
41.0,21.0
41.0,19.0
44.0,22.0
40.0,20.0
40.0,18.0
36.0,20.0
33.0,20.0
27.0,17.0
27.0,13.0
29.0,11.0
31.000000000000004,15.0
39.0,21.0
45.0,23.0
45.0,19.0
42.0,19.0
42.0,20.0
41.0,19.0
37.0,19.0
32.0,18.0
38.0,18.0
47.0,20.0
52.00000000000001,26.0
53.0,27.0
55.0,30.0
58.99999999999999,32.0
55.0,32.0
48.0,30.999999999999996
48.99999999999999,28.0
52.00000000000001,28.0
48.99999999999999,30.0
48.99999999999999,30.999999999999996
54.0,35.0
61.0,38.0
68.0,41.0
72.0,45.0
74.0,48.0
75.0,46.0
74.0,46.0
74.0,47.0
75.0,45.0
75.0,46.0
73.0,48.0
76.0,50.0
82.0,55.0
83.0,59.0
83.0,59.0
84.0,58.0
87.0,60.0
90.0,64.0
31.69917313367584,31.69917313367584
88.0,64.0
90.0,61.99999999999999
145.0,61.00000000000001
148.0,61.99999999999999
95.0,60.0
90.0,57.0
90.0,55.0
95.0,58.0
94.0,60.0
90.99999999999999,58.0
83.0,55.0
74.0,51.0
76.0,49.0
77.0,46.0
74.0,48.0
74.0,52.0
75.0,51.0
83.0,53.0
96.0,61.99999999999999
102.0,63.0
90.0,54.0
84.0,48.0
84.0,46.0
75.0,46.0
104.99999999999999,41.0
100.0,35.0
58.99999999999999,30.0
51.0,25.0
41.0,20.0
32.0,17.0
27.999999999999996,15.0
27.999999999999996,15.0
32.0,17.0
33.0,18.0
30.0,19.0
29.0,17.0
27.0,14.0
24.0,15.0
22.0,15.0
23.0,13.0
21.0,11.0
18.0,11.0
19.0,12.0
18.0,12.0
18.0,11.0
21.0,16.0
21.0,14.0
21.0,10.0
17.0,10.0
11.0,8.0
11.0,3.0
9.0,3.0
9.0,5.0
11.0,4.0
8.0,7.0
8.0,5.0
12.0,3.0
13.000000000000002,6.0
11.0,4.0
12.0,8.0
11.0,10.0
9.0,8.0
12.0,9.0
15.0,7.0
12.0,3.0
10.0,3.0
11.0,4.0
11.0,8.0
12.0,11.0
15.0,11.0
27.0,12.0
25.0,16.0
21.0,17.0
27.0,17.0
29.0,19.0
26.000000000000004,20.0
27.999999999999996,20.0
35.0,22.0
43.0,21.0
50.0,23.0
58.99999999999999,32.0
65.0,38.0
71.0,43.0
82.0,48.0
84.0,50.0
85.0,52.0
88.0,56.0
85.0,57.0
80.0,52.0
72.0,42.0
66.0,35.0
66.0,37.0
71.0,39.0
77.0,37.0
77.0,36.0
82.0,42.0
97.00000000000001,53.0
113.0,63.0
117.00000000000001,68.0
119.0,68.0
123.0,71.0
116.0,68.0
95.0,54.0
79.0,44.0
68.0,33.0
55.99999999999999,23.0
46.0,18.0
43.0,14.0
43.0,16.0
36.0,17.0
34.0,15.0
38.0,15.0
45.0,18.0
50.0,23.0
52.00000000000001,26.0
53.0,24.0
50.0,25.0
51.0,26.0
48.99999999999999,22.0
43.0,19.0
42.0,19.0
45.0,21.0
41.0,19.0
36.0,16.0
42.0,13.0
46.0,12.0
41.0,15.0
35.0,15.0
32.0,11.0
31.000000000000004,7.0
31.000000000000004,8.0
33.0,12.0
33.0,14.0
34.0,14.0
37.0,15.0
35.0,15.0
36.0,13.0
41.0,13.0
40.0,17.0
43.0,19.0
47.0,19.0
45.0,19.0
42.0,17.0
31.69917313367584,31.69917313367584
48.99999999999999,17.0
44.0,15.0
37.0,17.0
34.0,20.0
32.216290526982746,19.0
38.0,14.0
39.0,14.0
38.0,14.0
43.0,17.0
50.0,24.0
50.0,29.0
44.0,26.0
41.0,26.0
39.0,22.0
43.0,21.0
46.0,19.0
39.0,16.0
34.0,16.0
29.0,14.0
33.0,12.0
38.0,13.0
38.0,13.0
39.0,11.0
29.0,14.0
27.999999999999996,15.0
27.999999999999996,11.0
27.999999999999996,12.0
34.0,19.0
39.0,20.0
44.0,19.0
37.0,18.0
31.000000000000004,15.0
30.0,17.0
27.999999999999996,19.0
26.000000000000004,16.0
23.0,11.0
19.0,10.0
16.0,11.0
15.0,11.0
13.999999999999998,7.0
13.000000000000002,8.0
15.0,7.0
17.0,7.0
15.0,11.0
16.0,8.0
19.0,7.0
19.0,8.0
21.0,8.0
21.0,7.0
16.0,9.0
13.999999999999998,8.0
12.0,10.0
15.0,11.0
13.999999999999998,11.0
15.0,6.0
17.0,5.0
20.0,8.0
19.0,10.0
13.999999999999998,10.0
16.0,7.0
18.0,8.0
13.000000000000002,8.0
11.0,9.0
13.000000000000002,9.0
15.0,6.0
12.0,5.0
6.999999999999999,4.0
11.0,4.0
9.0,7.0
6.0,6.0
12.0,8.0
17.0,7.0
19.0,4.0
16.0,6.0
15.0,6.0
20.0,10.0
19.0,11.0
20.0,11.0
21.0,15.0
23.0,17.0
25.0,12.0
19.0,10.0
13.000000000000002,9.0
13.999999999999998,10.0
18.0,11.0
22.0,11.0
25.0,12.0
22.0,11.0
18.0,11.0
23.0,11.0
27.0,14.0
32.0,19.0
34.0,19.0
33.0,17.0
38.0,19.0
44.0,27.0
52.00000000000001,35.0
67.0,40.0
74.0,44.0
73.0,39.0
72.0,39.0
75.0,43.0
77.0,43.0
75.0,38.0
78.0,42.0
80.0,39.0
75.0,27.0
71.0,26.0
75.0,25.0
73.0,24.0
