16/02/2020 12:18:30,4.632184512,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
16/02/2020 21:54:50,4.92775792,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
16/02/2020 22:05:36,4.348560114,,,,,,,,,,,,,,,,
AMB_TEMP,CO,NO2,NOx,WIND_DIREC,WS_HR,PM10,PM2.5,,,,,,,,,,
16/02/2020 22:10:42,5.935989033,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO2,O3,SO2,WIND_SPEED,PM2.5,,,,,,,,
16/02/2020 22:16:28,4.351413485,,,,,,,,,,,,,,,,
DAY,HOUR,CO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5,,,,
16/02/2020 22:23:02,4.758379366,,,,,,,,,,,,,,,,
YEAR,HOUR,AMB_TEMP,CO,NO2,RH,SO2,WIND_DIREC,WIND_SPEED,PM10,PM2.5,,,,,,,
16/02/2020 22:28:57,8.553265638,,,,,,,,,,,,,,,,
MONTH,DAY,HOUR,NO2,NOx,SO2,WD_HR,WIND_DIREC,PM2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,
17/02/2020 13:39:29,2.736632093,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,
17/02/2020 13:55:18,2.923963799,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17/02/2020 14:11:21,2.889103112,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO2,NOx,WIND_DIREC,WIND_SPEED,WS_HR,,,,,,,,,,,
17/02/2020 14:26:57,2.739060403,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,AMB_TEMP,CO,O3,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,
17/02/2020 14:42:35,2.807447631,,,,,,,,,,,,,,,,
HOUR,NO,NO2,O3,RH,SO2,WD_HR,WIND_DIREC,WS_HR,,,,,,,,,
17/02/2020 14:57:42,2.686377873,,,,,,,,,,,,,,,,
DAY,YEAR,AMB_TEMP,CO,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,,,
17/02/2020 15:12:36,2.650821639,,,,,,,,,,,,,,,,
MONTH,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,,,,,,
17/02/2020 15:39:07,2.792794387,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO,NOx,O3,WD_HR,WIND_DIREC,,,,,,,,,,,
17/02/2020 15:55:22,2.887929632,,,,,,,,,,,,,,,,
YEAR,NO2,NOx,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,
17/02/2020 16:11:54,2.874563758,,,,,,,,,,,,,,,,
MONTH,YEAR,AMB_TEMP,NO2,RH,SO2,WD_HR,WS_HR,PM10,,,,,,,,,
17/02/2020 16:28:13,2.764034981,,,,,,,,,,,,,,,,
MONTH,AMB_TEMP,CO,O3,RH,,,,,,,,,,,,,
17/02/2020 16:43:43,2.701045353,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,O3,WIND_DIREC,WS_HR,PM10,,,,,,,
17/02/2020 21:08:47,2.7594956274150904
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10
