16/02/2020 11:05:46,4.175847991,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
16/02/2020 21:50:22,4.175847991,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
16/02/2020 22:02:25,4.080200012,,,,,,,,,,,,,,,,
AMB_TEMP,CO,NO2,NOx,WIND_DIREC,WS_HR,PM10,PM2.5,,,,,,,,,,
16/02/2020 22:07:04,5.687976047,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO2,O3,SO2,WIND_SPEED,PM2.5,,,,,,,,
16/02/2020 22:12:23,3.973294338,,,,,,,,,,,,,,,,
DAY,HOUR,CO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5,,,,
16/02/2020 22:18:25,4.240724394,,,,,,,,,,,,,,,,
YEAR,HOUR,AMB_TEMP,CO,NO2,RH,SO2,WIND_DIREC,WIND_SPEED,PM10,PM2.5,,,,,,,
16/02/2020 22:25:02,7.388865242,,,,,,,,,,,,,,,,
MONTH,DAY,HOUR,NO2,NOx,SO2,WD_HR,WIND_DIREC,PM2.5,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lagged,,,,,,,,,,,,,,,,,
17/02/2020 13:27:06,2.395166585,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,
17/02/2020 13:45:50,2.618063714,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17/02/2020 14:01:07,2.58733062,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO2,NOx,WIND_DIREC,WIND_SPEED,WS_HR,,,,,,,,,,,
17/02/2020 14:16:14,2.396069181,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,AMB_TEMP,CO,O3,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,
17/02/2020 14:32:06,2.494189656,,,,,,,,,,,,,,,,
HOUR,NO,NO2,O3,RH,SO2,WD_HR,WIND_DIREC,WS_HR,,,,,,,,,
17/02/2020 14:47:27,2.377436104,,,,,,,,,,,,,,,,
DAY,YEAR,AMB_TEMP,CO,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,,,
17/02/2020 15:02:30,2.441792155,,,,,,,,,,,,,,,,
MONTH,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,,,,,,,,,,,,
17/02/2020 15:28:16,2.563487548,,,,,,,,,,,,,,,,
DAY,AMB_TEMP,NO,NOx,O3,WD_HR,WIND_DIREC,,,,,,,,,,,
17/02/2020 15:44:17,2.432780496,,,,,,,,,,,,,,,,
YEAR,NO2,NOx,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,,
17/02/2020 16:00:38,2.429553039,,,,,,,,,,,,,,,,
MONTH,YEAR,AMB_TEMP,NO2,RH,SO2,WD_HR,WS_HR,PM10,,,,,,,,,
17/02/2020 16:17:52,2.502499233,,,,,,,,,,,,,,,,
MONTH,AMB_TEMP,CO,O3,RH,,,,,,,,,,,,,
17/02/2020 16:32:45,2.392260794,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,O3,WIND_DIREC,WS_HR,PM10,,,,,,,
,,,,,,,,,,,,,,,,,
Statistical,,,,,,,,,,,,,,,,,
17/02/2020 20:57:17,2.393246633,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,
,,,,,,,,,,,,,,,,,
17/02/2020 21:19:32,2.620330544,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17/02/2020 14:52:56,2.384256545,,,,,,,,,,,,,,,,
YEAR,CO,NO2,O3,RH,WS_HR,PM10,,,,,,,,,,,
17/02/2020 15:09:03,2.469537031,,,,,,,,,,,,,,,,
MONTH,YEAR,HOUR,AMB_TEMP,CO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,,,,
17/02/2020 15:25:50,2.51185034,,,,,,,,,,,,,,,,
MONTH,DAY,YEAR,HOUR,AMB_TEMP,CO,NO,WIND_DIREC,WIND_SPEED,,,,,,,,,
17/02/2020 15:41:30,2.470525146,,,,,,,,,,,,,,,,
MONTH,AMB_TEMP,CO,NO2,RH,SO2,WIND_DIREC,WIND_SPEED,WS_HR,,,,,,,,,
17/02/2020 15:57:27,2.35047628,,,,,,,,,,,,,,,,
MONTH,AMB_TEMP,CO,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,PM10,,,,,,,,
